Step,ElapsedMs,BotType,Difficulty
110,35.5496,EliteCommander,Aggressive
210,41.9701,EliteCommander,Aggressive
310,6.6512,EliteCommander,Aggressive
410,6.4767,EliteCommander,Aggressive
510,6.5605,EliteCommander,Aggressive
610,7.2138,EliteCommander,Aggressive
710,7.7955,EliteCommander,Aggressive
810,7.0818,EliteCommander,Aggressive
910,8.8932,EliteCommander,Aggressive
980,7.6945,EliteCommander,Aggressive
1050,6.6051,EliteCommander,Aggressive
1110,6.5218,EliteCommander,Aggressive
1180,6.2475,EliteCommander,Aggressive
1250,6.3029,EliteCommander,Aggressive
1320,8.8862,EliteCommander,Aggressive
1380,6.3791,EliteCommander,Aggressive
1450,6.5756,EliteCommander,Aggressive
1520,8.1989,EliteCommander,Aggressive
1580,7.6786,EliteCommander,Aggressive
1650,7.5105,EliteCommander,Aggressive
1720,8.0099,EliteCommander,Aggressive
1780,7.7358,EliteCommander,Aggressive
1840,8.9291,EliteCommander,Aggressive
1890,9.5409,EliteCommander,Aggressive
1940,8.4574,EliteCommander,Aggressive
1990,8.9727,EliteCommander,Aggressive
2040,8.6874,EliteCommander,Aggressive
2090,8.2130,EliteCommander,Aggressive
2140,7.8734,EliteCommander,Aggressive
2190,7.8043,EliteCommander,Aggressive
2240,7.6211,EliteCommander,Aggressive
2290,7.8286,EliteCommander,Aggressive
2350,12.6848,EliteCommander,Aggressive
2400,31.0246,EliteCommander,Aggressive
2450,28.7484,EliteCommander,Aggressive
2500,11.2140,EliteCommander,Aggressive
2550,27.8421,EliteCommander,Aggressive
2600,13.6379,EliteCommander,Aggressive
2650,11.5719,EliteCommander,Aggressive
2700,27.8398,EliteCommander,Aggressive
2750,26.4097,EliteCommander,Aggressive
2800,26.4289,EliteCommander,Aggressive
2860,14.7960,EliteCommander,Aggressive
2910,12.9932,EliteCommander,Aggressive
2960,27.7183,EliteCommander,Aggressive
3010,10.9543,EliteCommander,Aggressive
3060,27.6058,EliteCommander,Aggressive
3110,13.2847,EliteCommander,Aggressive
3160,11.3690,EliteCommander,Aggressive
3210,24.3596,EliteCommander,Aggressive
3260,24.2983,EliteCommander,Aggressive
3310,9.2294,EliteCommander,Aggressive
3370,29.1996,EliteCommander,Aggressive
3420,27.0362,EliteCommander,Aggressive
3470,28.9130,EliteCommander,Aggressive
3520,27.0955,EliteCommander,Aggressive
3570,13.1582,EliteCommander,Aggressive
3620,28.7908,EliteCommander,Aggressive
3670,11.2869,EliteCommander,Aggressive
3720,12.6574,EliteCommander,Aggressive
3770,10.2480,EliteCommander,Aggressive
3820,10.9091,EliteCommander,Aggressive
3880,13.6451,EliteCommander,Aggressive
3930,29.9268,EliteCommander,Aggressive
3980,30.9979,EliteCommander,Aggressive
4030,27.9522,EliteCommander,Aggressive
4080,11.0094,EliteCommander,Aggressive
4130,12.6336,EliteCommander,Aggressive
4180,11.7714,EliteCommander,Aggressive
4230,27.9891,EliteCommander,Aggressive
4280,26.6596,EliteCommander,Aggressive
4330,10.1065,EliteCommander,Aggressive
4390,14.0507,EliteCommander,Aggressive
4440,29.9766,EliteCommander,Aggressive
4490,29.1795,EliteCommander,Aggressive
4540,29.1687,EliteCommander,Aggressive
4590,10.5311,EliteCommander,Aggressive
4640,28.5630,EliteCommander,Aggressive
4690,10.8920,EliteCommander,Aggressive
4740,27.2552,EliteCommander,Aggressive
4790,10.5106,EliteCommander,Aggressive
4840,8.6723,EliteCommander,Aggressive
4900,12.3184,EliteCommander,Aggressive
4950,29.6248,EliteCommander,Aggressive
