Opponent,Win,Duration,Workers,Soldiers,Towers,Wood,Stone,Meat
Balanced,True,2256.50,4,3,0,2530,550,1580
Balanced,False,165.00,4,3,0,2670,530,1540
Balanced,False,165.00,4,3,0,2670,530,1540
Balanced,False,165.00,4,3,0,2670,530,1540
Balanced,True,247.00,6,18,6,9340,8370,8830
Balanced,True,247.00,6,18,6,9340,8370,8830
Balanced,True,247.00,6,18,6,9340,8370,8830
Turtle,False,2112.50,14,199,6,83940,83350,83470
Turtle,False,242.00,9,5,0,1760,530,3180
Turtle,False,242.50,9,5,0,1760,530,3180
Turtle,False,242.50,9,5,0,1760,530,3180
Turtle,False,375.00,15,89,1,34160,27390,33470
Random,True,370.50,15,42,1,33000,32830,36360
Random,True,371.00,15,42,1,33000,32830,36360
Random,True,371.00,15,42,1,33000,32830,36360
EliteCommander,False,563.80,0,0,0,0,0,0
EliteCommander,False,563.85,0,0,0,0,0,0
EliteCommander,True,998.25,7,0,4,640,1170,240480
EliteCommander,True,876.35,10,0,4,39980,610,186600
EliteCommander,True,371.90,4,5,7,23880,24140,19740
EliteCommander,True,308.00,5,7,1,9520,5920,8980
EliteCommander,True,727.70,11,0,1,0,62880,111720
EliteCommander,True,1226.45,16,0,3,120,5030,229920
EliteCommander,True,287.35,5,3,0,5540,5420,18720
EliteCommander,True,143.50,4,5,1,3380,2710,4160
EliteCommander,True,195.40,8,6,2,4620,5570,3280
EliteCommander,True,183.50,6,3,2,4240,1020,2010
EliteCommander,True,162.00,8,4,1,3830,710,3460
EliteCommander,True,151.30,7,4,1,4530,1020,2830
EliteCommander,True,153.40,4,3,2,3590,930,1520
EliteCommander,True,1300.25,7,0,3,131920,430,359260
EliteCommander,True,1494.35,6,0,7,1000,206170,505430
EliteCommander,True,251.45,3,4,3,6440,4160,14660
EliteCommander,True,717.80,5,0,4,37420,930,62050
EliteCommander,True,250.70,2,0,2,10280,0,0
Balanced,False,269.28,3,0,2,0,0,440
Rusher,False,27150.00,2,0,2,6640,0,0
Rusher,True,8340.00,3,0,2,32490,90,250
Rusher,False,144.19,3,3,0,1480,1500,1810
Rusher,True,140.32,7,0,4,950,770,1730
Rusher,True,191.26,5,10,2,9900,11690,12330
Rusher,True,214.26,3,10,6,19840,18100,13460
EliteCommander,False,149.85,1,0,0,0,0,0
EliteCommander,False,148.60,5,0,0,0,0,2620
EliteCommander,True,4258.45,2,0,7,790320,129580,0
EliteCommander,False,246.75,0,0,0,0,0,0
EliteCommander,False,246.75,0,0,0,0,0,0
EliteCommander,False,246.80,0,0,0,0,0,0
EliteCommander,False,246.80,0,0,0,0,0,0
EliteCommander,False,246.80,0,0,0,0,0,0
EliteCommander,False,1029.55,2,0,2,0,19020,0
EliteCommander,False,308.40,1,0,0,0,0,0
EliteCommander,False,361.70,2,0,0,0,10060,0
EliteCommander,False,409.30,27,0,0,0,11240,17180
EliteCommander,False,359.00,1,0,0,0,5000,0
EliteCommander,False,354.50,1,0,1,0,10190,0
EliteCommander,True,602.05,2,2,11,55900,55340,620
EliteCommander,False,347.65,1,0,0,5640,6020,0
EliteCommander,False,353.50,1,0,0,5720,12420,0
EliteCommander,False,45.00,1,0,1,800,140,0
EliteCommander,False,45.00,2,0,0,1140,280,0
EliteCommander,False,45.00,2,0,0,1300,240,0
EliteCommander,False,45.00,2,0,1,720,1000,0
EliteCommander,False,45.00,2,0,1,1630,0,0
EliteCommander,False,45.00,2,0,1,120,60,0
EliteCommander,False,45.00,3,0,1,1360,610,0
EliteCommander,False,45.00,13,0,5,1340,1480,1260
EliteCommander,False,45.00,13,0,5,1340,1480,1280
EliteCommander,False,45.00,13,0,5,2150,1600,1480
EliteCommander,False,45.00,13,0,5,2270,1640,1500
EliteCommander,False,45.00,12,0,4,2410,1720,1560
EliteCommander,False,45.00,16,0,4,4430,3060,1600
EliteCommander,False,45.00,16,0,4,4430,3080,1580
EliteCommander,False,45.00,16,0,5,4100,3820,1380
EliteCommander,False,45.00,16,0,5,4080,3880,1360
EliteCommander,False,45.00,19,0,5,4140,3880,1300
EliteCommander,False,45.00,14,0,3,1760,1190,990
EliteCommander,False,45.00,14,0,3,1760,1190,990
EliteCommander,False,45.00,14,0,3,1760,1190,990
EliteCommander,False,45.00,14,0,3,1760,1190,990
EliteCommander,False,45.00,14,0,3,1760,1190,990
EliteCommander,False,45.00,13,0,4,3780,2300,660
EliteCommander,False,45.00,13,0,4,3780,2300,660
EliteCommander,False,45.00,13,0,4,3780,2300,660
EliteCommander,False,45.00,13,0,4,3780,2300,660
EliteCommander,False,45.00,13,0,4,3800,2320,660
EliteCommander,False,65.00,19,0,7,6380,5920,3720
EliteCommander,False,65.00,19,0,7,6380,5920,3720
EliteCommander,False,65.00,19,0,7,6380,5920,3720
EliteCommander,False,65.00,19,0,7,6380,5920,3720
EliteCommander,False,65.00,19,0,7,6380,5920,3720
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,4,0,0,0,0,0
EliteCommander,False,65.00,11,0,4,1120,2260,190
EliteCommander,False,65.00,11,0,4,1120,2260,190
EliteCommander,False,65.00,11,0,4,1120,2260,190
EliteCommander,False,65.00,11,0,4,1120,2260,190
EliteCommander,False,65.00,11,0,4,1120,2260,190
EliteCommander,False,65.00,13,0,5,790,630,1060
EliteCommander,False,65.00,13,0,5,790,630,1060
EliteCommander,False,65.00,13,0,5,790,630,1060
EliteCommander,False,65.00,13,0,5,790,630,1060
EliteCommander,False,65.00,13,0,5,790,630,1060
EliteCommander,False,65.00,12,0,4,2780,1570,870
EliteCommander,False,65.00,12,0,4,2780,1570,870
EliteCommander,False,65.00,12,0,4,2780,1570,870
EliteCommander,False,65.00,12,0,4,2780,1570,870
EliteCommander,False,65.00,12,0,4,2780,1570,870
EliteCommander,False,65.00,15,0,4,1530,2650,2460
EliteCommander,False,65.00,15,0,4,1530,2670,2460
EliteCommander,False,65.00,15,0,4,1530,2690,2460
EliteCommander,False,65.00,15,0,4,1530,2690,2460
EliteCommander,False,65.00,15,0,4,1530,2690,2460
EliteCommander,False,65.00,13,0,2,5680,4070,40
EliteCommander,False,65.00,13,0,2,5680,4050,40
EliteCommander,False,65.00,13,0,2,5680,4030,40
EliteCommander,False,65.00,13,0,2,5680,4030,40
EliteCommander,False,65.00,13,0,2,5680,4030,40
EliteCommander,False,65.00,10,0,3,1310,1200,2180
EliteCommander,False,65.00,2,0,0,2460,160,130
EliteCommander,False,65.00,2,0,1,1480,440,80
EliteCommander,False,65.00,2,0,0,760,1500,0
EliteCommander,False,65.00,4,0,1,700,0,1740
EliteCommander,False,65.00,3,0,0,0,1860,1200
EliteCommander,False,65.00,0,0,0,0,0,0
EliteCommander,False,65.00,0,0,0,0,0,0
EliteCommander,False,65.00,0,0,0,0,0,0
EliteCommander,False,65.00,2,0,0,1760,1860,170
EliteCommander,False,65.00,2,0,0,900,1020,0
EliteCommander,False,65.00,4,0,1,0,1160,960
EliteCommander,False,65.00,1,0,0,760,0,0
EliteCommander,False,65.00,5,0,1,1760,0,1220
EliteCommander,False,65.00,4,0,0,540,0,1160
EliteCommander,False,65.00,1,0,0,0,900,0
EliteCommander,False,65.00,1,0,0,310,0,0
EliteCommander,False,65.00,2,0,2,0,0,80
EliteCommander,False,65.00,2,0,0,880,1060,0
EliteCommander,False,65.00,2,0,0,0,60,0
EliteCommander,False,65.00,2,0,1,2900,680,0
EliteCommander,False,65.00,1,0,1,0,0,0
EliteCommander,False,65.00,3,0,1,0,1880,1280
EliteCommander,False,65.00,2,0,0,0,3080,0
EliteCommander,False,65.00,4,0,0,380,840,1200
EliteCommander,False,65.00,1,0,1,0,0,0
EliteCommander,False,65.00,1,0,1,680,1400,0
EliteCommander,False,65.00,2,0,0,0,940,0
EliteCommander,False,65.00,2,0,1,260,2080,0
EliteCommander,False,65.00,1,0,0,0,0,30
EliteCommander,False,65.00,2,0,1,80,540,0
EliteCommander,False,65.00,4,0,2,0,0,940
EliteCommander,False,65.00,2,0,2,960,0,0
EliteCommander,False,65.00,2,0,2,0,1160,0
EliteCommander,False,65.00,2,0,1,640,1490,0
EliteCommander,False,65.00,1,0,0,0,90,0
EliteCommander,False,65.00,2,0,2,0,540,1500
EliteCommander,False,65.00,1,0,1,0,0,0
EliteCommander,False,65.00,3,0,1,1140,360,1140
EliteCommander,False,65.00,1,0,0,0,0,0
EliteCommander,False,65.00,3,0,2,1240,800,880
EliteCommander,False,65.00,1,0,0,0,10,0
EliteCommander,False,65.00,2,0,1,0,0,0
EliteCommander,False,65.00,2,0,0,0,2140,0
EliteCommander,False,65.00,1,0,0,0,0,0
EliteCommander,False,65.00,2,0,0,1100,880,0
