State,Action0,Action1,Action2,Action3,Action4
0,3.585,3.484,5.479,3.615,3.611
1,0.274,-0.105,-0.109,-0.116,-0.122
2,12.869,11.316,11.210,17.958,11.186
3,18.547,18.559,18.547,21.005,17.518
4,4.354,4.428,5.433,4.542,4.009
5,3.178,0.874,0.514,0.840,1.039
6,13.222,13.140,13.219,15.759,12.597
7,17.579,17.614,17.608,20.296,17.247
8,0.456,0.387,2.374,0.247,0.559
9,9.458,1.498,1.820,1.199,2.156
10,15.049,15.061,15.014,16.631,15.004
11,18.861,18.902,18.800,19.961,17.823
12,-0.120,-0.121,-0.121,-0.121,-0.100
13,30.745,1.695,2.444,1.850,1.468
14,15.317,15.328,14.002,22.653,14.445
15,13.961,15.824,14.375,32.414,18.841
16,4.073,4.090,5.739,4.079,4.263
17,4.463,1.222,0.968,1.255,1.008
18,12.264,12.243,12.372,15.865,12.131
19,17.628,17.696,17.644,20.415,17.064
20,3.475,3.866,5.989,3.932,3.274
21,24.466,3.362,3.832,2.693,3.142
22,12.991,13.000,13.011,14.384,12.968
23,17.917,17.911,17.946,21.227,17.801
24,2.015,1.837,7.254,1.848,2.058
25,71.482,2.117,2.226,5.493,3.298
26,19.296,19.305,19.309,20.438,19.288
27,40.972,25.212,25.227,25.321,25.342
28,1.180,1.218,2.154,1.461,1.462
29,138.395,6.327,3.184,17.192,5.814
30,68.330,66.155,62.288,70.370,60.646
31,167.466,122.759,122.752,122.823,122.843
32,0.301,1.361,0.246,0.710,0.183
33,2.067,13.794,2.315,1.511,1.668
34,15.044,15.034,15.031,15.839,14.994
35,18.423,18.420,18.447,21.557,17.725
36,1.398,1.736,2.776,1.910,1.528
37,7.900,71.858,9.099,9.176,8.290
38,19.499,19.508,19.508,20.299,19.412
39,23.645,24.787,23.442,38.238,23.638
40,17.187,9.793,8.897,10.131,10.367
41,259.068,41.307,46.627,33.133,37.375
42,46.592,49.820,46.600,46.621,46.615
43,91.072,154.107,90.927,90.964,90.336
44,30.086,23.421,28.238,58.936,21.117
45,103.032,76.179,413.938,111.375,80.596
46,282.261,282.402,282.287,318.821,282.153
47,794.213,371.783,406.742,371.967,362.082
48,0.874,-0.040,-0.103,0.116,-0.117
49,8.367,71.615,5.214,4.378,5.706
50,13.269,14.133,12.941,23.713,12.720
51,19.289,15.481,16.294,31.355,12.274
52,1.991,1.912,14.353,1.897,3.467
53,46.352,47.379,271.752,47.100,51.835
54,62.129,63.671,67.043,75.748,65.646
55,72.899,178.486,77.387,73.319,76.172
56,38.060,37.120,117.146,36.456,35.232
57,208.396,862.746,285.993,269.457,224.896
58,290.738,410.796,291.516,291.183,290.957
59,370.525,659.715,347.422,368.741,368.272
60,164.703,176.771,174.300,135.998,1441.579
61,385.328,355.147,409.034,169.598,4222.122
62,2837.487,2840.216,2836.677,2839.455,3061.348
63,2419.457,2464.748,2437.529,2422.904,2986.718
