Step,ElapsedMs,BotType,Difficulty
2,238.8953,Rusher,Aggressive
3,5.4118,Rusher,Aggressive
4,28.1704,Rusher,Aggressive
5,30.3322,Rusher,Aggressive
6,12.9844,Rusher,Aggressive
7,13.6831,Rusher,Aggressive
8,12.2899,Rusher,Aggressive
9,13.7913,Rusher,Aggressive
10,13.0048,Rusher,Aggressive
11,13.6202,Rusher,Aggressive
12,12.2857,Rusher,Aggressive
13,13.6655,Rusher,Aggressive
14,13.0849,Rusher,Aggressive
15,13.7996,Rusher,Aggressive
16,13.6888,Rusher,Aggressive
17,13.3057,Rusher,Aggressive
18,13.0510,Rusher,Aggressive
19,18.6585,Rusher,Aggressive
20,8.6015,Rusher,Aggressive
21,13.4595,Rusher,Aggressive
22,12.2700,Rusher,Aggressive
23,13.7257,Rusher,Aggressive
24,13.4791,Rusher,Aggressive
25,13.7744,Rusher,Aggressive
26,13.1443,Rusher,Aggressive
27,13.5185,Rusher,Aggressive
28,13.6817,Rusher,Aggressive
29,13.7682,Rusher,Aggressive
30,12.9862,Rusher,Aggressive
31,12.4580,Rusher,Aggressive
32,13.2348,Rusher,Aggressive
33,13.4422,Rusher,Aggressive
34,13.0723,Rusher,Aggressive
35,13.6073,Rusher,Aggressive
36,13.8269,Rusher,Aggressive
37,13.3787,Rusher,Aggressive
38,13.2325,Rusher,Aggressive
39,11.6406,Rusher,Aggressive
40,13.9231,Rusher,Aggressive
41,13.0818,Rusher,Aggressive
42,12.6305,Rusher,Aggressive
43,13.7065,Rusher,Aggressive
44,13.4121,Rusher,Aggressive
45,13.5306,Rusher,Aggressive
46,13.1753,Rusher,Aggressive
47,13.5909,Rusher,Aggressive
48,13.6614,Rusher,Aggressive
49,13.7991,Rusher,Aggressive
50,12.8166,Rusher,Aggressive
51,11.0743,Rusher,Aggressive
52,13.0508,Rusher,Aggressive
53,12.5958,Rusher,Aggressive
54,13.3085,Rusher,Aggressive
55,13.5088,Rusher,Aggressive
56,14.0127,Rusher,Aggressive
57,13.3371,Rusher,Aggressive
58,13.2343,Rusher,Aggressive
59,13.5680,Rusher,Aggressive
60,13.6680,Rusher,Aggressive
61,13.6970,Rusher,Aggressive
62,12.6856,Rusher,Aggressive
63,13.3374,Rusher,Aggressive
64,13.6512,Rusher,Aggressive
65,13.7523,Rusher,Aggressive
66,12.8449,Rusher,Aggressive
67,13.6583,Rusher,Aggressive
68,13.7014,Rusher,Aggressive
69,13.0208,Rusher,Aggressive
70,13.7596,Rusher,Aggressive
71,11.7186,Rusher,Aggressive
72,13.2305,Rusher,Aggressive
73,13.7435,Rusher,Aggressive
74,13.1103,Rusher,Aggressive
75,13.0778,Rusher,Aggressive
76,12.6915,Rusher,Aggressive
77,13.3816,Rusher,Aggressive
78,13.0396,Rusher,Aggressive
79,13.3775,Rusher,Aggressive
80,13.8807,Rusher,Aggressive
81,13.3026,Rusher,Aggressive
82,12.5967,Rusher,Aggressive
83,13.2093,Rusher,Aggressive
84,14.1204,Rusher,Aggressive
85,12.5002,Rusher,Aggressive
86,13.3022,Rusher,Aggressive
87,13.3918,Rusher,Aggressive
88,13.8909,Rusher,Aggressive
89,13.4714,Rusher,Aggressive
90,13.2140,Rusher,Aggressive
91,13.3902,Rusher,Aggressive
92,13.1881,Rusher,Aggressive
93,13.4662,Rusher,Aggressive
94,13.2011,Rusher,Aggressive
95,13.6718,Rusher,Aggressive
96,13.4169,Rusher,Aggressive
97,13.8358,Rusher,Aggressive
98,13.1629,Rusher,Aggressive
99,12.5756,Rusher,Aggressive
100,13.6869,Rusher,Aggressive
101,13.5516,Rusher,Aggressive
102,12.6229,Rusher,Aggressive
103,13.7081,Rusher,Aggressive
104,13.2963,Rusher,Aggressive
105,13.3382,Rusher,Aggressive
106,13.4276,Rusher,Aggressive
107,13.5456,Rusher,Aggressive
108,13.3543,Rusher,Aggressive
109,13.7995,Rusher,Aggressive
110,12.8630,Rusher,Aggressive
111,13.5868,Rusher,Aggressive
112,13.1102,Rusher,Aggressive
113,13.1509,Rusher,Aggressive
114,13.5844,Rusher,Aggressive
115,13.5193,Rusher,Aggressive
116,13.7333,Rusher,Aggressive
117,13.5288,Rusher,Aggressive
118,13.1115,Rusher,Aggressive
119,13.5771,Rusher,Aggressive
120,13.6673,Rusher,Aggressive
121,13.4311,Rusher,Aggressive
122,10.3528,Rusher,Aggressive
123,13.3875,Rusher,Aggressive
124,13.6072,Rusher,Aggressive
125,13.6455,Rusher,Aggressive
126,13.1735,Rusher,Aggressive
127,13.5449,Rusher,Aggressive
128,13.6720,Rusher,Aggressive
129,13.6634,Rusher,Aggressive
130,13.1572,Rusher,Aggressive
131,13.4272,Rusher,Aggressive
132,13.2573,Rusher,Aggressive
133,13.5358,Rusher,Aggressive
134,13.1562,Rusher,Aggressive
135,13.6575,Rusher,Aggressive
136,13.7800,Rusher,Aggressive
137,13.7881,Rusher,Aggressive
138,12.6977,Rusher,Aggressive
139,13.3353,Rusher,Aggressive
140,13.8024,Rusher,Aggressive
141,13.5913,Rusher,Aggressive
142,12.4669,Rusher,Aggressive
143,13.5522,Rusher,Aggressive
144,13.2747,Rusher,Aggressive
145,12.9212,Rusher,Aggressive
146,13.0893,Rusher,Aggressive
147,13.5148,Rusher,Aggressive
148,13.7414,Rusher,Aggressive
149,13.6624,Rusher,Aggressive
150,13.0166,Rusher,Aggressive
151,13.4011,Rusher,Aggressive
152,13.1977,Rusher,Aggressive
153,13.7835,Rusher,Aggressive
154,12.9375,Rusher,Aggressive
155,13.5412,Rusher,Aggressive
156,13.6750,Rusher,Aggressive
157,13.4339,Rusher,Aggressive
158,13.1135,Rusher,Aggressive
159,13.4054,Rusher,Aggressive
160,14.0204,Rusher,Aggressive
161,13.3067,Rusher,Aggressive
162,12.7084,Rusher,Aggressive
163,13.4457,Rusher,Aggressive
164,13.4982,Rusher,Aggressive
165,13.7831,Rusher,Aggressive
166,13.0869,Rusher,Aggressive
167,13.4718,Rusher,Aggressive
168,12.8800,Rusher,Aggressive
169,13.0742,Rusher,Aggressive
170,13.6208,Rusher,Aggressive
171,13.4503,Rusher,Aggressive
172,13.3656,Rusher,Aggressive
173,13.6269,Rusher,Aggressive
174,12.9105,Rusher,Aggressive
175,13.6829,Rusher,Aggressive
176,13.4480,Rusher,Aggressive
177,13.7442,Rusher,Aggressive
178,13.1975,Rusher,Aggressive
179,13.6752,Rusher,Aggressive
180,14.0687,Rusher,Aggressive
181,13.2797,Rusher,Aggressive
182,12.4577,Rusher,Aggressive
183,13.5773,Rusher,Aggressive
184,13.5526,Rusher,Aggressive
185,13.7823,Rusher,Aggressive
186,12.8891,Rusher,Aggressive
187,13.4576,Rusher,Aggressive
188,13.6439,Rusher,Aggressive
189,13.7704,Rusher,Aggressive
190,13.2332,Rusher,Aggressive
191,12.2104,Rusher,Aggressive
192,13.1950,Rusher,Aggressive
193,13.5100,Rusher,Aggressive
194,13.0556,Rusher,Aggressive
195,13.5060,Rusher,Aggressive
196,13.9060,Rusher,Aggressive
197,13.6800,Rusher,Aggressive
198,12.8107,Rusher,Aggressive
199,13.5661,Rusher,Aggressive
200,13.8741,Rusher,Aggressive
201,13.4168,Rusher,Aggressive
202,12.7640,Rusher,Aggressive
203,13.5030,Rusher,Aggressive
204,13.5005,Rusher,Aggressive
205,13.7613,Rusher,Aggressive
206,12.7223,Rusher,Aggressive
207,13.4571,Rusher,Aggressive
208,13.7426,Rusher,Aggressive
209,13.0662,Rusher,Aggressive
210,13.5270,Rusher,Aggressive
211,13.2225,Rusher,Aggressive
212,13.2294,Rusher,Aggressive
213,13.1830,Rusher,Aggressive
214,13.1887,Rusher,Aggressive
215,13.2326,Rusher,Aggressive
216,12.6546,Rusher,Aggressive
217,13.9920,Rusher,Aggressive
218,12.0231,Rusher,Aggressive
219,13.5078,Rusher,Aggressive
220,13.5525,Rusher,Aggressive
221,13.1043,Rusher,Aggressive
222,12.0150,Rusher,Aggressive
223,13.5672,Rusher,Aggressive
224,13.6157,Rusher,Aggressive
225,13.7525,Rusher,Aggressive
226,12.9159,Rusher,Aggressive
227,13.4729,Rusher,Aggressive
228,13.9067,Rusher,Aggressive
229,13.4206,Rusher,Aggressive
230,13.3441,Rusher,Aggressive
231,13.1572,Rusher,Aggressive
232,12.8201,Rusher,Aggressive
233,13.2604,Rusher,Aggressive
234,13.6381,Rusher,Aggressive
235,13.5971,Rusher,Aggressive
236,13.6162,Rusher,Aggressive
237,13.8063,Rusher,Aggressive
238,13.1237,Rusher,Aggressive
239,13.5138,Rusher,Aggressive
240,13.7165,Rusher,Aggressive
241,13.5605,Rusher,Aggressive
242,12.5033,Rusher,Aggressive
243,13.6788,Rusher,Aggressive
244,13.4746,Rusher,Aggressive
245,13.8778,Rusher,Aggressive
246,13.0376,Rusher,Aggressive
247,13.4250,Rusher,Aggressive
248,14.0061,Rusher,Aggressive
249,13.0156,Rusher,Aggressive
250,13.4637,Rusher,Aggressive
251,13.7276,Rusher,Aggressive
252,13.1414,Rusher,Aggressive
253,12.6566,Rusher,Aggressive
254,13.1703,Rusher,Aggressive
255,13.4301,Rusher,Aggressive
256,13.6747,Rusher,Aggressive
257,13.7812,Rusher,Aggressive
258,12.9572,Rusher,Aggressive
259,13.4033,Rusher,Aggressive
260,13.8473,Rusher,Aggressive
261,13.7687,Rusher,Aggressive
262,12.4650,Rusher,Aggressive
263,13.5778,Rusher,Aggressive
264,13.5941,Rusher,Aggressive
265,13.2451,Rusher,Aggressive
266,13.4823,Rusher,Aggressive
267,13.4899,Rusher,Aggressive
268,13.8187,Rusher,Aggressive
269,13.5212,Rusher,Aggressive
270,13.2099,Rusher,Aggressive
271,13.5712,Rusher,Aggressive
272,12.9424,Rusher,Aggressive
273,13.8034,Rusher,Aggressive
274,13.0006,Rusher,Aggressive
275,13.4889,Rusher,Aggressive
276,13.9776,Rusher,Aggressive
277,13.3816,Rusher,Aggressive
278,13.1753,Rusher,Aggressive
279,13.3634,Rusher,Aggressive
280,13.8688,Rusher,Aggressive
281,13.1320,Rusher,Aggressive
282,12.9764,Rusher,Aggressive
283,13.6435,Rusher,Aggressive
284,13.6398,Rusher,Aggressive
285,12.7616,Rusher,Aggressive
286,12.9264,Rusher,Aggressive
287,13.6668,Rusher,Aggressive
288,13.7797,Rusher,Aggressive
289,13.6172,Rusher,Aggressive
290,13.1123,Rusher,Aggressive
291,13.5269,Rusher,Aggressive
292,13.3071,Rusher,Aggressive
293,12.9956,Rusher,Aggressive
294,13.6121,Rusher,Aggressive
295,13.5842,Rusher,Aggressive
296,13.5232,Rusher,Aggressive
297,13.6940,Rusher,Aggressive
298,13.0611,Rusher,Aggressive
299,13.4811,Rusher,Aggressive
300,13.7937,Rusher,Aggressive
301,13.5169,Rusher,Aggressive
302,12.7469,Rusher,Aggressive
303,13.3651,Rusher,Aggressive
304,13.5541,Rusher,Aggressive
305,13.6620,Rusher,Aggressive
306,12.9117,Rusher,Aggressive
307,13.7614,Rusher,Aggressive
308,13.7756,Rusher,Aggressive
309,12.9242,Rusher,Aggressive
310,13.9275,Rusher,Aggressive
311,13.4993,Rusher,Aggressive
312,13.0878,Rusher,Aggressive
313,13.6274,Rusher,Aggressive
314,13.1853,Rusher,Aggressive
315,13.5375,Rusher,Aggressive
316,13.7846,Rusher,Aggressive
317,12.7308,Rusher,Aggressive
318,12.9396,Rusher,Aggressive
319,13.5961,Rusher,Aggressive
320,13.9496,Rusher,Aggressive
321,12.8674,Rusher,Aggressive
322,13.1793,Rusher,Aggressive
323,13.4169,Rusher,Aggressive
324,13.6390,Rusher,Aggressive
325,13.8788,Rusher,Aggressive
326,12.9895,Rusher,Aggressive
327,13.5832,Rusher,Aggressive
