GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,237984.00,0.24,38.29,31.57,26.77,11.73,9.46,31.68,25.22,21.37,0.14,14.95,17.87,10.38,12.98
1,237984.00,0.24,38.29,31.57,26.77,11.73,9.46,31.68,25.22,21.37,0.14,14.95,17.87,10.38,12.98
2,237984.00,0.24,38.29,31.57,26.77,11.73,9.46,31.68,25.22,21.37,0.14,14.95,17.87,10.38,12.98
3,279856.00,7.45,40.00,8.89,22.69,1.14,5.44,12.33,38.26,31.50,7.29,6.15,22.34,0.00,19.49
4,279856.00,7.45,40.00,8.89,22.69,1.14,5.44,12.33,38.26,31.50,7.29,6.15,22.34,0.00,19.49
5,279856.00,7.45,40.00,8.89,22.69,1.14,5.44,12.33,38.26,31.50,7.29,6.15,22.34,0.00,19.49
6,279856.00,7.45,40.00,8.89,22.69,1.14,5.44,12.33,38.26,31.50,7.29,6.15,22.34,0.00,19.49
7,279856.00,7.45,40.00,8.89,22.69,1.14,5.44,12.33,38.26,31.50,7.29,6.15,22.34,0.00,19.49
8,279856.00,7.45,40.00,8.89,22.69,1.14,5.44,12.33,38.26,31.50,7.29,6.15,22.34,0.00,19.49
9,323608.00,0.00,10.54,11.20,40.00,2.27,20.53,33.21,40.00,20.07,0.00,31.25,25.75,0.00,7.75
10,323608.00,0.00,10.54,11.20,40.00,2.27,20.53,33.21,40.00,20.07,0.00,31.25,25.75,0.00,7.75
11,323608.00,0.00,10.54,11.20,40.00,2.27,20.53,33.21,40.00,20.07,0.00,31.25,25.75,0.00,7.75
12,323608.00,0.00,10.54,11.20,40.00,2.27,20.53,33.21,40.00,20.07,0.00,31.25,25.75,0.00,7.75
13,323608.00,0.00,10.54,11.20,40.00,2.27,20.53,33.21,40.00,20.07,0.00,31.25,25.75,0.00,7.75
14,323608.00,0.00,10.54,11.20,40.00,2.27,20.53,33.21,40.00,20.07,0.00,31.25,25.75,0.00,7.75
15,323608.00,0.00,10.54,11.20,40.00,2.27,20.53,33.21,40.00,20.07,0.00,31.25,25.75,0.00,7.75
16,323608.00,0.00,10.54,11.20,40.00,2.27,20.53,33.21,40.00,20.07,0.00,31.25,25.75,0.00,7.75
17,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
18,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
19,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
20,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
21,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
22,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
23,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
24,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
25,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
26,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
27,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
28,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
29,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
30,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
31,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
32,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
33,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
34,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
35,340020.00,0.00,40.00,1.19,19.19,0.00,40.00,40.00,36.36,40.00,29.23,8.99,40.00,0.00,1.75
36,352364.00,0.57,14.07,23.95,5.79,17.71,5.00,40.00,20.45,40.00,12.99,0.12,29.59,0.00,0.00
37,352364.00,0.57,14.07,23.95,5.79,17.71,5.00,40.00,20.45,40.00,12.99,0.12,29.59,0.00,0.00
38,352364.00,0.57,14.07,23.95,5.79,17.71,5.00,40.00,20.45,40.00,12.99,0.12,29.59,0.00,0.00
39,352364.00,0.57,14.07,23.95,5.79,17.71,5.00,40.00,20.45,40.00,12.99,0.12,29.59,0.00,0.00
40,352364.00,0.57,14.07,23.95,5.79,17.71,5.00,40.00,20.45,40.00,12.99,0.12,29.59,0.00,0.00
41,352364.00,0.57,14.07,23.95,5.79,17.71,5.00,40.00,20.45,40.00,12.99,0.12,29.59,0.00,0.00
42,352364.00,0.57,14.07,23.95,5.79,17.71,5.00,40.00,20.45,40.00,12.99,0.12,29.59,0.00,0.00
43,352364.00,0.57,14.07,23.95,5.79,17.71,5.00,40.00,20.45,40.00,12.99,0.12,29.59,0.00,0.00
44,352364.00,0.57,14.07,23.95,5.79,17.71,5.00,40.00,20.45,40.00,12.99,0.12,29.59,0.00,0.00
