GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,-70360.00,25.68,35.85,0.84,6.51,30.93,20.09,2.15,24.72,8.34,29.86,3.58,37.69,17.96,23.12
1,-70360.00,25.68,35.85,0.84,6.51,30.93,20.09,2.15,24.72,8.34,29.86,3.58,37.69,17.96,23.12
2,-46135.00,24.70,32.93,4.09,21.33,20.48,37.86,14.27,14.67,21.18,33.31,0.00,6.34,26.11,27.81
3,-46135.00,24.70,32.93,4.09,21.33,20.48,37.86,14.27,14.67,21.18,33.31,0.00,6.34,26.11,27.81
4,-36465.00,22.77,40.00,1.51,26.79,35.59,40.00,4.12,18.34,34.60,40.00,0.00,12.40,30.69,32.49
5,-26945.00,18.48,31.40,0.00,21.34,30.39,39.79,7.32,19.75,39.49,33.72,0.00,17.92,35.05,34.55
6,-26945.00,18.48,31.40,0.00,21.34,30.39,39.79,7.32,19.75,39.49,33.72,0.00,17.92,35.05,34.55
7,-15780.00,22.03,31.74,0.26,25.09,36.71,40.00,5.03,27.33,40.00,40.00,0.00,19.07,36.80,30.09
8,-15780.00,22.03,31.74,0.26,25.09,36.71,40.00,5.03,27.33,40.00,40.00,0.00,19.07,36.80,30.09
9,-15725.00,17.03,26.28,0.23,24.40,40.00,40.00,5.19,26.40,40.00,40.00,0.00,27.88,40.00,30.80
10,-15725.00,17.03,26.28,0.23,24.40,40.00,40.00,5.19,26.40,40.00,40.00,0.00,27.88,40.00,30.80
11,-15280.00,15.97,21.65,0.00,26.63,40.00,40.00,7.04,26.20,40.00,1.65,0.00,34.93,40.00,36.55
12,-13970.00,17.73,28.95,3.57,24.32,38.15,40.00,6.89,29.29,40.00,0.00,0.00,30.74,37.94,29.01
13,-13970.00,17.73,28.95,3.57,24.32,38.15,40.00,6.89,29.29,40.00,0.00,0.00,30.74,37.94,29.01
14,-12235.00,28.77,32.21,3.33,23.94,39.86,40.00,4.61,29.57,40.00,0.00,0.00,38.80,37.28,22.54
15,-12235.00,28.77,32.21,3.33,23.94,39.86,40.00,4.61,29.57,40.00,0.00,0.00,38.80,37.28,22.54
16,-12235.00,28.77,32.21,3.33,23.94,39.86,40.00,4.61,29.57,40.00,0.00,0.00,38.80,37.28,22.54
17,-12235.00,28.77,32.21,3.33,23.94,39.86,40.00,4.61,29.57,40.00,0.00,0.00,38.80,37.28,22.54
18,-12235.00,28.77,32.21,3.33,23.94,39.86,40.00,4.61,29.57,40.00,0.00,0.00,38.80,37.28,22.54
19,-12235.00,28.77,32.21,3.33,23.94,39.86,40.00,4.61,29.57,40.00,0.00,0.00,38.80,37.28,22.54
