GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,-149400.00,-149940.00,0.00,0.36,3803.00,0.00,0.00,0.00,3.00
1,-149100.00,-149910.00,0.00,0.22,3394.00,0.00,0.00,0.00,0.00
2,-149100.00,-150000.00,0.00,0.46,15480.00,0.00,0.00,0.00,4.00
3,187950.00,-89260.00,0.20,1.50,2349.00,0.00,0.00,10.00,4.00
4,187950.00,-148500.00,0.00,0.35,1762.00,0.00,0.00,7.00,4.00
5,187950.00,-149940.00,0.00,0.44,9898.00,0.00,0.00,0.00,8.00
6,187950.00,-149170.00,0.00,1.30,24702.00,0.00,0.00,8.00,8.00
7,187950.00,-149730.00,0.00,0.39,15818.00,0.00,0.00,2.00,6.00
8,187950.00,-115825.00,0.10,0.24,2262.00,0.00,0.00,3.00,3.00
9,208100.00,-53690.00,0.30,0.47,10610.00,0.00,0.00,7.00,4.00
10,208100.00,260.00,0.40,0.34,32971.00,0.00,0.00,9.00,8.00
11,208100.00,-96300.00,0.10,0.39,78607.00,0.00,0.00,2.00,8.00
12,208100.00,-32760.00,0.30,0.89,75493.00,0.00,0.00,6.00,6.00
13,208100.00,-75305.00,0.20,1.01,36143.00,0.00,0.00,5.00,3.00
14,208100.00,-9290.00,0.40,0.91,21889.00,0.00,0.00,7.00,5.00
15,208100.00,-45070.00,0.30,0.65,38424.00,0.00,0.00,11.00,5.00
16,208100.00,49930.00,0.60,0.29,44064.00,0.00,0.00,10.00,7.00
17,208100.00,-59195.00,0.20,4.10,96918.00,0.00,0.00,3.00,4.00
18,208100.00,-18080.00,0.40,0.99,50038.00,0.00,0.00,7.00,10.00
