GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,-70360.00,-310234.00,0.10,0.24,2897.00,0.00,0.00,1.00,12.00
1,-70360.00,-320558.00,0.05,0.20,1648.00,0.00,0.00,1.00,12.00
2,-57820.00,-315700.50,0.05,0.20,1337.00,0.00,0.00,2.00,11.00
3,-41110.00,-307508.50,0.15,2.16,758.00,0.00,0.00,2.00,11.00
4,-41110.00,-289531.50,0.15,0.19,2510.00,0.00,0.00,2.00,9.00
5,-41110.00,-314600.00,0.10,0.41,1828.00,0.00,0.00,2.00,10.00
6,-39740.00,-304695.00,0.10,0.20,2287.00,0.00,0.00,2.00,9.00
7,-39740.00,-307966.50,0.10,0.23,1760.00,0.00,0.00,2.00,9.00
8,-39740.00,-275598.80,0.25,0.39,1626.00,0.00,0.00,3.00,11.00
9,-39740.00,-284198.30,0.15,0.23,4351.00,0.00,0.00,2.00,12.00
10,-26100.00,-287450.00,0.20,0.25,2631.00,0.00,0.00,2.00,13.00
11,-26100.00,-263579.00,0.30,0.21,2105.00,0.00,0.00,3.00,10.00
12,-26100.00,-252830.80,0.30,0.24,1916.00,0.00,0.00,4.00,12.00
13,-18570.00,-230358.30,0.40,0.25,2042.00,0.00,0.00,5.00,15.00
14,-9360.00,-213368.50,0.40,0.25,1850.00,0.00,0.00,4.00,14.00
15,-9325.00,-223507.80,0.40,0.25,1820.00,0.00,0.00,3.00,11.00
16,-9325.00,-284912.00,0.15,0.21,1712.00,0.00,0.00,1.00,14.00
17,-9325.00,-287477.80,0.20,0.22,1685.00,0.00,0.00,2.00,15.00
18,-9325.00,-190903.50,0.50,0.35,3812.00,0.00,0.00,6.00,18.00
19,-9325.00,-307552.50,0.15,0.22,871.00,0.00,0.00,1.00,14.00
20,-9325.00,-254380.50,0.25,0.29,3420.00,0.00,0.00,3.00,18.00
21,-9325.00,-215323.30,0.40,0.53,2808.00,0.00,0.00,6.00,13.00
22,-9325.00,-319164.00,0.10,0.21,669.00,0.00,0.00,0.00,13.00
23,-9325.00,-278465.00,0.20,0.26,1193.00,0.00,0.00,2.00,14.00
24,-9325.00,-203935.30,0.50,0.29,1664.00,0.00,0.00,6.00,17.00
25,-9325.00,-258431.80,0.25,0.27,2002.00,0.00,0.00,2.00,16.00
26,-9325.00,-240705.30,0.25,0.91,1840.00,0.00,0.00,4.00,15.00
27,-9325.00,-220614.30,0.40,0.32,2694.00,0.00,0.00,5.00,14.00
28,-9325.00,-209521.50,0.40,0.29,3866.00,0.00,0.00,4.00,19.00
29,-9325.00,-193807.50,0.50,0.28,2382.00,0.00,0.00,5.00,20.00
30,-9325.00,-190812.00,0.55,0.32,1990.00,0.00,0.00,5.00,19.00
31,-9325.00,-192365.00,0.50,0.27,2003.00,0.00,0.00,4.00,16.00
32,-8695.00,-169015.30,0.55,0.35,2565.00,0.00,0.00,5.00,21.00
33,-8695.00,-222819.50,0.40,0.29,2634.00,0.00,0.00,3.00,20.00
34,-8695.00,-281136.30,0.10,0.24,3225.00,0.00,0.00,2.00,17.00
35,-8695.00,-249501.30,0.30,0.25,959.00,0.00,0.00,3.00,18.00
36,-8695.00,-285958.00,0.15,0.24,1875.00,0.00,0.00,1.00,16.00
37,-8695.00,-205834.30,0.45,0.27,1866.00,0.00,0.00,6.00,17.00
38,-8695.00,-287165.50,0.20,0.24,1680.00,0.00,0.00,1.00,19.00
39,-8695.00,-239939.80,0.25,0.30,2724.00,0.00,0.00,3.00,19.00
40,-8695.00,-196681.00,0.45,0.34,2918.00,0.00,0.00,4.00,20.00
41,-8695.00,-197542.00,0.45,0.28,3536.00,0.00,0.00,6.00,19.00
42,-8695.00,-224644.00,0.40,0.87,3246.00,0.00,0.00,4.00,18.00
43,-8695.00,-187325.80,0.50,0.27,2855.00,0.00,0.00,5.00,18.00
44,-8695.00,-236151.50,0.35,0.52,2171.00,0.00,0.00,2.00,16.00
45,-8695.00,-222722.50,0.40,0.24,2328.00,0.00,0.00,4.00,15.00
46,-7995.00,-214366.30,0.35,0.71,5759.00,0.00,0.00,4.00,19.00
47,-7995.00,-196786.50,0.40,0.31,4312.00,0.00,0.00,4.00,20.00
48,-7995.00,-222168.00,0.40,0.25,3441.00,0.00,0.00,4.00,16.00
49,-7995.00,-217351.80,0.45,0.30,3259.00,0.00,0.00,3.00,19.00
50,-7995.00,-232955.30,0.25,0.27,6942.00,0.00,0.00,3.00,18.00
51,-7995.00,-164323.00,0.60,0.36,3273.00,0.00,0.00,5.00,17.00
52,-7995.00,-226153.00,0.40,0.26,2757.00,0.00,0.00,4.00,16.00
53,-7995.00,-222299.30,0.40,0.23,2163.00,0.00,0.00,4.00,16.00
54,-7995.00,-185831.30,0.55,0.36,1588.00,0.00,0.00,5.00,18.00
55,-7995.00,-231122.50,0.35,0.25,3203.00,0.00,0.00,2.00,17.00
56,-7995.00,-244188.80,0.35,0.21,1724.00,0.00,0.00,2.00,14.00
57,-7995.00,-224755.80,0.40,0.25,3252.00,0.00,0.00,4.00,18.00
58,-7995.00,-204391.00,0.45,0.23,3017.00,0.00,0.00,3.00,16.00
59,-6770.00,-233486.50,0.30,0.27,4341.00,0.00,0.00,3.00,18.00
60,-6770.00,-252027.50,0.25,0.46,4606.00,0.00,0.00,3.00,18.00
61,-6770.00,-185072.50,0.45,0.28,6420.00,0.00,0.00,4.00,18.00
62,-6770.00,-209132.00,0.40,0.32,5905.00,0.00,0.00,3.00,16.00
63,-6770.00,-182531.30,0.45,0.31,4580.00,0.00,0.00,5.00,19.00
64,-6770.00,-234067.00,0.40,0.26,2332.00,0.00,0.00,3.00,18.00
65,-6770.00,-273504.30,0.20,0.31,2646.00,0.00,0.00,1.00,17.00
66,-6770.00,-233574.50,0.30,0.23,3932.00,0.00,0.00,3.00,17.00
67,-6770.00,-214139.80,0.40,0.22,2739.00,0.00,0.00,3.00,14.00
68,-6770.00,-217528.80,0.40,0.25,2460.00,0.00,0.00,4.00,17.00
69,-6770.00,-230373.80,0.30,0.24,4687.00,0.00,0.00,4.00,13.00
70,-6770.00,-219850.50,0.30,0.28,5554.00,0.00,0.00,4.00,19.00
71,-6770.00,-200517.50,0.45,0.25,2951.00,0.00,0.00,3.00,18.00
72,-6770.00,-229896.80,0.30,0.29,6959.00,0.00,0.00,3.00,20.00
