GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,813130.00,4.39,35.38,20.43,33.84,5.06,36.95,37.83,37.39,13.78,5.94,23.75,0.75,30.31,21.36
1,980330.00,35.32,40.00,26.09,32.81,0.00,37.35,40.00,40.00,10.57,0.00,32.30,21.76,15.41,18.00
2,980330.00,35.32,40.00,26.09,32.81,0.00,37.35,40.00,40.00,10.57,0.00,32.30,21.76,15.41,18.00
3,980330.00,35.32,40.00,26.09,32.81,0.00,37.35,40.00,40.00,10.57,0.00,32.30,21.76,15.41,18.00
4,980330.00,35.32,40.00,26.09,32.81,0.00,37.35,40.00,40.00,10.57,0.00,32.30,21.76,15.41,18.00
5,980330.00,35.32,40.00,26.09,32.81,0.00,37.35,40.00,40.00,10.57,0.00,32.30,21.76,15.41,18.00
6,980330.00,35.32,40.00,26.09,32.81,0.00,37.35,40.00,40.00,10.57,0.00,32.30,21.76,15.41,18.00
7,982630.00,0.00,19.59,4.96,31.35,0.00,36.29,40.00,40.00,6.59,16.83,0.00,0.54,31.33,15.85
8,989010.00,6.18,35.85,19.16,40.00,0.00,40.00,40.00,40.00,19.84,0.00,12.18,1.72,40.00,39.62
9,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
10,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
11,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
12,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
13,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
14,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
15,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
16,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
17,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
18,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
19,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
20,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
21,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
22,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
23,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
24,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
25,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
26,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
27,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
28,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
29,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
30,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
31,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
32,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
33,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
34,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
35,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
36,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
37,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
38,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
39,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
40,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
41,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
42,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
43,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
44,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
45,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
46,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
47,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
48,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
49,1017990.00,1.63,40.00,31.77,40.00,21.70,34.74,40.00,40.00,30.95,0.00,28.11,0.00,16.88,28.17
