GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,-70360.00,25.68,35.85,0.84,6.51,30.93,20.09,2.15,24.72,8.34,29.86,3.58,37.69,17.96,23.12
1,-70360.00,25.68,35.85,0.84,6.51,30.93,20.09,2.15,24.72,8.34,29.86,3.58,37.69,17.96,23.12
2,-57820.00,18.01,17.84,0.00,19.87,13.84,40.00,29.00,40.00,13.78,10.79,4.95,0.41,31.51,19.23
3,-41110.00,10.67,2.78,2.31,23.81,14.88,8.16,24.30,40.00,19.57,33.67,0.00,22.51,13.57,7.01
4,-41110.00,10.67,2.78,2.31,23.81,14.88,8.16,24.30,40.00,19.57,33.67,0.00,22.51,13.57,7.01
5,-41110.00,10.67,2.78,2.31,23.81,14.88,8.16,24.30,40.00,19.57,33.67,0.00,22.51,13.57,7.01
6,-39740.00,27.38,6.95,0.00,25.99,28.90,0.00,25.68,40.00,16.93,28.73,0.00,35.50,27.92,27.85
7,-39740.00,27.38,6.95,0.00,25.99,28.90,0.00,25.68,40.00,16.93,28.73,0.00,35.50,27.92,27.85
8,-39740.00,27.38,6.95,0.00,25.99,28.90,0.00,25.68,40.00,16.93,28.73,0.00,35.50,27.92,27.85
9,-39740.00,27.38,6.95,0.00,25.99,28.90,0.00,25.68,40.00,16.93,28.73,0.00,35.50,27.92,27.85
10,-26100.00,27.75,40.00,2.42,40.00,0.00,0.00,31.97,20.49,0.07,23.64,3.40,20.57,9.58,40.00
11,-26100.00,27.75,40.00,2.42,40.00,0.00,0.00,31.97,20.49,0.07,23.64,3.40,20.57,9.58,40.00
12,-26100.00,27.75,40.00,2.42,40.00,0.00,0.00,31.97,20.49,0.07,23.64,3.40,20.57,9.58,40.00
13,-18570.00,12.15,23.69,0.00,40.00,37.41,0.00,11.51,24.60,40.00,40.00,0.00,6.01,33.55,37.81
14,-9360.00,23.75,2.78,0.00,40.00,20.17,12.71,31.30,4.59,6.60,12.94,40.00,40.00,13.09,1.28
15,-9325.00,19.55,8.79,0.00,36.45,17.71,0.00,17.90,0.00,5.18,5.92,40.00,40.00,0.00,9.05
16,-9325.00,19.55,8.79,0.00,36.45,17.71,0.00,17.90,0.00,5.18,5.92,40.00,40.00,0.00,9.05
17,-9325.00,19.55,8.79,0.00,36.45,17.71,0.00,17.90,0.00,5.18,5.92,40.00,40.00,0.00,9.05
18,-9325.00,19.55,8.79,0.00,36.45,17.71,0.00,17.90,0.00,5.18,5.92,40.00,40.00,0.00,9.05
19,-9325.00,19.55,8.79,0.00,36.45,17.71,0.00,17.90,0.00,5.18,5.92,40.00,40.00,0.00,9.05
