GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,740690.00,468728.70,0.17,0.97,70143.00,0.00,0.00,6.00,1.00
1,753330.00,417932.70,0.17,0.92,66737.00,0.00,0.00,7.00,1.00
2,753330.00,413243.30,0.10,18.62,63471.00,0.00,0.00,6.00,1.00
3,777970.00,525880.70,0.07,0.77,85943.00,0.00,0.00,3.00,1.00
4,866330.00,489104.00,0.13,1.29,82277.00,0.00,0.00,4.00,1.00
5,866330.00,518614.00,0.17,0.85,79039.00,0.00,0.00,4.00,1.00
6,866330.00,495728.00,0.07,0.83,82835.00,0.00,0.00,2.00,1.00
7,869170.00,566406.70,0.10,0.85,97325.00,0.00,0.00,3.00,1.00
8,869170.00,501302.70,0.03,9.06,71390.00,0.00,0.00,2.00,1.00
9,869170.00,532361.30,0.03,0.92,88832.00,0.00,0.00,2.00,1.00
10,891610.00,613409.30,0.10,0.90,98171.00,0.00,0.00,1.00,1.00
11,943990.00,673579.30,0.00,43.97,146765.00,0.00,0.00,0.00,1.00
12,943990.00,643455.30,0.03,0.74,137111.00,0.00,0.00,2.00,1.00
13,943990.00,583032.70,0.03,0.99,113690.00,0.00,0.00,0.00,1.00
14,943990.00,587768.70,0.13,4.72,109272.00,0.00,0.00,2.00,1.00
15,943990.00,619698.00,0.13,0.86,118435.00,0.00,0.00,2.00,1.00
16,943990.00,586050.70,0.10,0.90,115373.00,0.00,0.00,1.00,1.00
17,943990.00,623317.30,0.07,1.14,118152.00,0.00,0.00,1.00,1.00
18,943990.00,662383.30,0.03,1.33,129290.00,0.00,0.00,0.00,1.00
19,943990.00,578224.00,0.03,0.89,115149.00,0.00,0.00,1.00,1.00
20,943990.00,572956.70,0.00,0.90,107620.00,0.00,0.00,0.00,1.00
21,981710.00,690144.00,0.03,0.92,129093.00,0.00,0.00,1.00,1.00
22,981710.00,721059.30,0.03,0.92,143604.00,0.00,0.00,1.00,1.00
23,981710.00,672180.70,0.03,0.91,136877.00,0.00,0.00,1.00,1.00
24,981710.00,671370.70,0.03,17.45,142242.00,0.00,0.00,1.00,1.00
25,981710.00,652316.00,0.00,0.85,148282.00,0.00,0.00,1.00,1.00
26,981710.00,676158.70,0.00,1.13,143406.00,0.00,0.00,0.00,1.00
27,981710.00,682131.30,0.00,0.90,140172.00,0.00,0.00,0.00,1.00
28,981710.00,703694.00,0.00,0.89,158058.00,0.00,0.00,0.00,1.00
29,981710.00,720775.30,0.00,0.93,166455.00,0.00,0.00,0.00,1.00
30,981710.00,769320.70,0.03,0.92,168088.00,0.00,0.00,1.00,1.00
31,981710.00,764655.30,0.00,0.91,164760.00,0.00,0.00,2.00,1.00
32,981710.00,746086.70,0.07,0.90,175227.00,0.00,0.00,1.00,1.00
33,1004930.00,755878.70,0.03,0.86,173476.00,0.00,0.00,1.00,1.00
34,1004930.00,740018.00,0.00,0.89,168031.00,0.00,0.00,0.00,1.00
35,1004930.00,817986.00,0.03,13.03,192911.00,0.00,0.00,1.00,1.00
36,1004930.00,779980.00,0.07,0.89,178732.00,0.00,0.00,0.00,1.00
37,1043790.00,748506.00,0.07,0.95,171838.00,0.00,0.00,1.00,1.00
38,1043790.00,767096.00,0.00,0.92,177474.00,0.00,0.00,1.00,1.00
39,1043790.00,819913.30,0.03,0.91,202476.00,0.00,0.00,1.00,1.00
40,1043790.00,789258.00,0.00,16.26,186031.00,0.00,0.00,1.00,1.00
41,1043790.00,796269.30,0.00,11.90,183920.00,0.00,0.00,0.00,1.00
42,1043790.00,791074.00,0.03,1.10,180964.00,0.00,0.00,0.00,1.00
43,1043790.00,788818.70,0.00,0.88,188180.00,0.00,0.00,0.00,1.00
44,1043790.00,830835.30,0.00,0.96,201997.00,0.00,0.00,0.00,1.00
45,1043790.00,787285.30,0.00,1.01,191181.00,0.00,0.00,0.00,1.00
46,1043790.00,811786.70,0.00,7.15,195465.00,0.00,0.00,0.00,1.00
47,1043790.00,840948.00,0.03,0.90,205294.00,0.00,0.00,0.00,1.00
48,1043790.00,877168.00,0.07,0.93,213364.00,0.00,0.00,1.00,1.00
49,1043790.00,832228.70,0.07,0.84,202238.00,0.00,0.00,1.00,1.00
