GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,-70360.00,-310234.00,0.10,0.25,2897.00,0.00,0.00,1.00,12.00
1,-70360.00,-320558.00,0.05,0.20,1648.00,0.00,0.00,1.00,12.00
2,-46135.00,-305495.30,0.10,0.48,2727.00,0.00,0.00,2.00,14.00
3,-46135.00,-185069.80,0.50,0.51,2783.00,0.00,0.00,6.00,17.00
4,-36465.00,-189197.80,0.50,0.30,1201.00,0.00,0.00,8.00,18.00
5,-26945.00,-188518.50,0.45,0.31,2174.00,0.00,0.00,7.00,16.00
6,-26945.00,-123646.80,0.75,0.26,1090.00,0.00,0.00,9.00,14.00
7,-15780.00,-116725.30,0.70,0.32,2971.00,0.00,0.00,9.00,14.00
8,-15780.00,-89867.75,0.85,0.28,2123.00,0.00,0.00,9.00,18.00
9,-15725.00,-93651.50,0.80,0.29,3280.00,0.00,0.00,7.00,17.00
10,-15725.00,-98000.00,0.80,0.52,2099.00,0.00,0.00,8.00,14.00
11,-15280.00,-63716.75,0.90,0.30,513.00,0.00,0.00,11.00,13.00
12,-13970.00,-51919.50,1.00,0.27,527.00,0.00,0.00,11.00,14.00
13,-13970.00,-50611.25,0.95,0.27,722.00,0.00,0.00,10.00,17.00
14,-12235.00,-40940.25,0.95,0.47,1572.00,0.00,0.00,11.00,17.00
15,-12235.00,-39282.75,0.95,0.26,1566.00,0.00,0.00,9.00,17.00
16,-12235.00,-48223.75,0.95,0.31,2065.00,0.00,0.00,9.00,22.00
17,-12235.00,-45255.50,0.95,0.28,2217.00,0.00,0.00,10.00,20.00
18,-12235.00,-48730.00,0.90,0.36,2551.00,0.00,0.00,10.00,18.00
19,-12235.00,-51168.00,0.90,0.38,3094.00,0.00,0.00,9.00,19.00
20,-12235.00,-43782.25,0.90,0.31,3541.00,0.00,0.00,9.00,20.00
21,-12235.00,-48086.75,0.90,0.49,3191.00,0.00,0.00,10.00,20.00
22,-11450.00,-47442.75,0.95,0.27,1752.00,0.00,0.00,9.00,19.00
23,-11450.00,-36291.75,1.00,0.29,925.00,0.00,0.00,11.00,17.00
24,-11450.00,-40744.00,1.00,0.25,691.00,0.00,0.00,11.00,13.00
25,-11450.00,-31559.00,1.00,0.53,770.00,0.00,0.00,10.00,14.00
26,-11450.00,-30549.50,1.00,0.29,1287.00,0.00,0.00,10.00,18.00
27,-11450.00,-31763.75,1.00,0.25,885.00,0.00,0.00,10.00,16.00
28,-11450.00,-30560.25,1.00,0.30,682.00,0.00,0.00,10.00,16.00
29,-11450.00,-28659.00,1.00,0.23,855.00,0.00,0.00,10.00,15.00
30,-11450.00,-37708.00,1.00,0.35,1872.00,0.00,0.00,10.00,18.00
31,-11450.00,-46785.25,0.95,0.29,2660.00,0.00,0.00,10.00,19.00
32,-11450.00,-39295.25,0.95,0.29,1848.00,0.00,0.00,10.00,18.00
33,-11450.00,-46270.25,0.95,0.25,1354.00,0.00,0.00,10.00,16.00
34,-11450.00,-34905.75,1.00,0.26,635.00,0.00,0.00,12.00,15.00
35,-11450.00,-38299.75,1.00,0.31,1796.00,0.00,0.00,10.00,19.00
36,-11450.00,-31095.75,1.00,0.27,984.00,0.00,0.00,11.00,17.00
37,-11450.00,-32498.75,1.00,0.26,1215.00,0.00,0.00,10.00,16.00
38,-11450.00,-32835.75,1.00,0.26,1055.00,0.00,0.00,11.00,16.00
39,-11450.00,-28942.00,1.00,0.30,784.00,0.00,0.00,11.00,17.00
40,-11450.00,-30571.50,1.00,0.51,777.00,0.00,0.00,11.00,16.00
41,-11450.00,-37478.50,1.00,0.24,561.00,0.00,0.00,10.00,15.00
42,-10935.00,-29211.75,1.00,0.27,1292.00,0.00,0.00,10.00,17.00
43,-10935.00,-49151.25,1.00,0.32,656.00,0.00,0.00,12.00,17.00
44,-10935.00,-34696.75,1.00,0.27,632.00,0.00,0.00,12.00,17.00
45,-10935.00,-30580.50,1.00,0.26,772.00,0.00,0.00,10.00,16.00
46,-10935.00,-30295.00,1.00,0.77,676.00,0.00,0.00,11.00,15.00
47,-10935.00,-40607.75,1.00,0.35,368.00,0.00,0.00,12.00,16.00
48,-10935.00,-48182.75,1.00,0.25,509.00,0.00,0.00,11.00,16.00
49,-10935.00,-49083.25,0.95,0.25,1450.00,0.00,0.00,11.00,15.00
50,-10935.00,-43870.75,0.95,0.33,1559.00,0.00,0.00,12.00,17.00
51,-10935.00,-41838.00,1.00,0.31,626.00,0.00,0.00,11.00,15.00
52,-10935.00,-41303.50,0.95,0.41,1039.00,0.00,0.00,10.00,13.00
53,-10935.00,-39818.75,1.00,0.78,577.00,0.00,0.00,11.00,15.00
54,-10935.00,-39974.50,1.00,0.25,685.00,0.00,0.00,11.00,15.00
55,-10935.00,-47150.00,1.00,0.31,521.00,0.00,0.00,11.00,14.00
56,-10935.00,-37064.75,1.00,0.60,620.00,0.00,0.00,11.00,16.00
57,-10935.00,-38177.75,1.00,0.24,729.00,0.00,0.00,11.00,16.00
58,-10935.00,-35591.25,1.00,0.25,302.00,0.00,0.00,12.00,14.00
59,-10935.00,-53263.00,0.95,0.25,786.00,0.00,0.00,12.00,14.00
60,-10935.00,-49241.00,1.00,0.27,621.00,0.00,0.00,12.00,15.00
61,-10935.00,-34232.50,1.00,0.25,429.00,0.00,0.00,10.00,15.00
62,-10935.00,-42744.25,1.00,0.25,401.00,0.00,0.00,11.00,14.00
63,-10935.00,-47447.25,1.00,0.27,406.00,0.00,0.00,12.00,13.00
64,-10935.00,-39817.50,1.00,0.26,513.00,0.00,0.00,11.00,14.00
65,-10935.00,-53029.75,0.95,0.27,1325.00,0.00,0.00,11.00,15.00
66,-10935.00,-38484.75,1.00,0.30,559.00,0.00,0.00,12.00,16.00
67,-10935.00,-34513.25,1.00,0.27,579.00,0.00,0.00,12.00,16.00
68,-10935.00,-54020.50,0.95,0.27,653.00,0.00,0.00,11.00,14.00
69,-10935.00,-42319.75,1.00,0.39,373.00,0.00,0.00,10.00,16.00
70,-9755.00,-48670.75,0.95,0.34,1199.00,0.00,0.00,11.00,16.00
71,-9755.00,-45604.00,1.00,0.25,320.00,0.00,0.00,11.00,11.00
72,-9755.00,-43983.25,1.00,0.27,474.00,0.00,0.00,11.00,12.00
73,-9755.00,-40214.50,1.00,0.62,391.00,0.00,0.00,11.00,13.00
74,-9755.00,-51497.00,0.95,0.25,1593.00,0.00,0.00,10.00,16.00
75,-9755.00,-31544.25,1.00,0.27,691.00,0.00,0.00,11.00,14.00
76,-9755.00,-37238.00,1.00,0.28,389.00,0.00,0.00,11.00,12.00
77,-9755.00,-34762.00,1.00,0.26,415.00,0.00,0.00,11.00,11.00
78,-9755.00,-36672.00,1.00,0.27,426.00,0.00,0.00,11.00,13.00
79,-9755.00,-34838.25,1.00,0.27,454.00,0.00,0.00,13.00,14.00
80,-9755.00,-38400.75,1.00,0.25,665.00,0.00,0.00,11.00,13.00
81,-9755.00,-43329.25,1.00,0.26,292.00,0.00,0.00,11.00,12.00
82,-9755.00,-44021.25,1.00,0.30,300.00,0.00,0.00,12.00,13.00
83,-9755.00,-41681.00,1.00,0.29,636.00,0.00,0.00,11.00,13.00
