GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,0.00,0.00,0.00,8.11,0.00,0.00,0.00,0.00,0.00
1,0.00,0.00,0.00,4.93,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,4.47,0.00,0.00,0.00,0.00,0.00
3,69150.00,6610.00,0.10,4.17,0.00,0.00,0.00,0.00,0.00
4,69150.00,0.00,0.00,5.80,0.00,0.00,0.00,0.00,0.00
5,69150.00,0.00,0.00,7.87,0.00,0.00,0.00,0.00,0.00
6,69150.00,0.00,0.00,4.39,0.00,0.00,0.00,0.00,0.00
7,69150.00,0.00,0.00,5.21,0.00,0.00,0.00,0.00,0.00
8,69150.00,0.00,0.00,4.10,0.00,0.00,0.00,0.00,0.00
9,69150.00,-295.00,0.00,4.34,0.00,0.00,0.00,0.00,0.00
