GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,0.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
1,0.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
2,0.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
3,69150.00,6.24,13.57,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.60,18.27,38.16,19.88,37.31
4,69150.00,6.24,13.57,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.60,18.27,38.16,19.88,37.31
5,69150.00,6.24,13.57,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.60,18.27,38.16,19.88,37.31
6,69150.00,6.24,13.57,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.60,18.27,38.16,19.88,37.31
7,69150.00,6.24,13.57,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.60,18.27,38.16,19.88,37.31
8,69150.00,6.24,13.57,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.60,18.27,38.16,19.88,37.31
9,69150.00,6.24,13.57,2.70,14.33,40.00,39.75,20.75,20.87,19.83,21.60,18.27,38.16,19.88,37.31
