GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,0.00,-390.00,0.00,8.89,0.00,0.00,0.00,0.00,0.00
1,0.00,-540.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,3.21,0.00,0.00,0.00,0.00,0.00
3,144310.00,14226.00,0.10,5.01,0.00,0.00,0.00,0.00,0.00
4,144310.00,-350.00,0.00,5.01,0.00,0.00,0.00,0.00,0.00
5,144310.00,-140.00,0.00,5.01,0.00,0.00,0.00,0.00,0.00
6,144310.00,-600.00,0.00,3.59,0.00,0.00,0.00,0.00,0.00
7,144310.00,-360.00,0.00,5.09,0.00,0.00,0.00,0.00,0.00
8,144310.00,0.00,0.00,5.01,0.00,0.00,0.00,0.00,0.00
9,144310.00,27725.00,0.20,2.44,0.00,0.00,0.00,0.00,0.00
10,144310.00,-65.00,0.00,4.63,0.00,0.00,0.00,0.00,0.00
11,144310.00,-150.00,0.00,4.94,0.00,0.00,0.00,0.00,0.00
12,144710.00,14346.00,0.10,4.25,0.00,0.00,0.00,0.00,0.00
13,144710.00,0.00,0.00,3.78,0.00,0.00,0.00,0.00,0.00
14,144710.00,13654.00,0.10,4.43,0.00,0.00,0.00,0.00,0.00
15,144710.00,-545.00,0.00,4.20,0.00,0.00,0.00,0.00,0.00
16,144710.00,12286.00,0.10,2.19,0.00,0.00,0.00,0.00,0.00
17,144710.00,12699.00,0.10,4.83,0.00,0.00,0.00,0.00,0.00
18,144710.00,40967.00,0.30,4.15,0.00,0.00,0.00,0.00,0.00
19,148090.00,28540.00,0.20,5.01,0.00,0.00,0.00,0.00,0.00
20,148090.00,26530.00,0.20,4.46,0.00,0.00,0.00,0.00,0.00
21,148090.00,-355.00,0.00,4.71,0.00,0.00,0.00,0.00,0.00
22,148090.00,28058.00,0.20,4.16,0.00,0.00,0.00,0.00,0.00
23,148090.00,0.00,0.00,3.52,0.00,0.00,0.00,0.00,0.00
24,148090.00,14119.00,0.10,4.53,0.00,0.00,0.00,0.00,0.00
25,149510.00,28989.00,0.20,3.91,0.00,0.00,0.00,0.00,0.00
26,149510.00,13497.00,0.10,3.28,0.00,0.00,0.00,0.00,0.00
27,149510.00,28127.00,0.20,3.04,0.00,0.00,0.00,0.00,0.00
28,149510.00,12362.00,0.10,5.02,0.00,0.00,0.00,0.00,0.00
29,149510.00,13517.00,0.10,5.10,0.00,0.00,0.00,0.00,0.00
30,149510.00,28972.00,0.20,1.88,0.00,0.00,0.00,0.00,0.00
31,149510.00,0.00,0.00,4.24,0.00,0.00,0.00,0.00,0.00
32,149510.00,27857.00,0.20,2.90,0.00,0.00,0.00,0.00,0.00
33,149510.00,11117.00,0.10,3.16,0.00,0.00,0.00,0.00,0.00
34,149510.00,26715.00,0.20,1.70,0.00,0.00,0.00,0.00,0.00
35,152690.00,43246.00,0.30,3.32,0.00,0.00,0.00,0.00,0.00
36,152690.00,23903.00,0.20,2.10,0.00,0.00,0.00,0.00,0.00
37,152690.00,14250.00,0.10,5.02,0.00,0.00,0.00,0.00,0.00
38,152690.00,28521.00,0.20,1.78,0.00,0.00,0.00,0.00,0.00
39,152690.00,11177.00,0.10,3.81,0.00,0.00,0.00,0.00,0.00
40,152690.00,-310.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00
41,152690.00,13709.00,0.10,5.07,0.00,0.00,0.00,0.00,0.00
42,152690.00,77435.00,0.60,1.10,0.00,0.00,0.00,0.00,0.00
43,152690.00,56349.00,0.40,3.16,0.00,0.00,0.00,0.00,0.00
44,152690.00,67984.00,0.50,1.05,0.00,0.00,0.00,0.00,0.00
45,152690.00,41506.00,0.30,2.26,0.00,0.00,0.00,0.00,0.00
46,152690.00,26778.00,0.20,3.79,0.00,0.00,0.00,0.00,0.00
47,152690.00,13513.00,0.10,3.41,0.00,0.00,0.00,0.00,0.00
48,152690.00,-565.00,0.00,3.07,0.00,0.00,0.00,0.00,0.00
49,153370.00,14957.00,0.10,2.37,0.00,0.00,0.00,0.00,0.00
50,153370.00,42060.00,0.30,2.20,0.00,0.00,0.00,0.00,0.00
51,153370.00,29654.00,0.20,5.04,0.00,0.00,0.00,0.00,0.00
52,153370.00,41282.00,0.30,5.01,0.00,0.00,0.00,0.00,0.00
53,153370.00,40644.00,0.30,1.31,0.00,0.00,0.00,0.00,0.00
54,153370.00,57452.00,0.40,1.20,0.00,0.00,0.00,0.00,0.00
55,153410.00,66295.00,0.50,4.47,0.00,0.00,0.00,0.00,0.00
56,153410.00,27218.00,0.20,3.75,0.00,0.00,0.00,0.00,0.00
57,153410.00,14805.00,0.10,3.33,0.00,0.00,0.00,0.00,0.00
58,153410.00,26854.00,0.20,5.02,0.00,0.00,0.00,0.00,0.00
59,153410.00,27913.00,0.20,2.89,0.00,0.00,0.00,0.00,0.00
60,153410.00,13356.00,0.10,2.98,0.00,0.00,0.00,0.00,0.00
61,153410.00,14334.00,0.10,2.16,0.00,0.00,0.00,0.00,0.00
62,153410.00,13373.00,0.10,2.01,0.00,0.00,0.00,0.00,0.00
63,153410.00,28869.00,0.20,2.73,0.00,0.00,0.00,0.00,0.00
64,153410.00,14187.00,0.10,3.19,0.00,0.00,0.00,0.00,0.00
65,153410.00,41557.00,0.30,5.04,0.00,0.00,0.00,0.00,0.00
66,153410.00,27394.00,0.20,1.61,0.00,0.00,0.00,0.00,0.00
67,153410.00,28303.00,0.20,2.85,0.00,0.00,0.00,0.00,0.00
68,153410.00,26171.00,0.20,1.79,0.00,0.00,0.00,0.00,0.00
69,153410.00,13525.00,0.10,5.07,0.00,0.00,0.00,0.00,0.00
70,153410.00,27674.00,0.20,4.21,0.00,0.00,0.00,0.00,0.00
71,153410.00,13788.00,0.10,2.16,0.00,0.00,0.00,0.00,0.00
72,153410.00,28324.00,0.20,2.46,0.00,0.00,0.00,0.00,0.00
73,153410.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00
74,153410.00,10033.00,0.10,4.47,0.00,0.00,0.00,0.00,0.00
75,153410.00,125.00,0.00,2.01,0.00,0.00,0.00,0.00,0.00
76,153410.00,38868.00,0.30,1.78,0.00,0.00,0.00,0.00,0.00
77,153410.00,42503.00,0.30,5.04,0.00,0.00,0.00,0.00,0.00
78,153410.00,25966.00,0.20,1.49,0.00,0.00,0.00,0.00,0.00
79,153410.00,11472.00,0.10,3.74,0.00,0.00,0.00,0.00,0.00
80,153410.00,0.00,0.00,3.21,0.00,0.00,0.00,0.00,0.00
81,153410.00,14344.00,0.10,4.08,0.00,0.00,0.00,0.00,0.00
82,153410.00,13827.00,0.10,5.02,0.00,0.00,0.00,0.00,0.00
83,153410.00,27805.00,0.20,1.83,0.00,0.00,0.00,0.00,0.00
84,154710.00,40166.00,0.30,5.01,0.00,0.00,0.00,0.00,0.00
85,154710.00,26501.00,0.20,1.92,0.00,0.00,0.00,0.00,0.00
86,154710.00,54158.00,0.40,1.24,0.00,0.00,0.00,0.00,0.00
87,154710.00,55789.00,0.40,3.54,0.00,0.00,0.00,0.00,0.00
88,154710.00,-715.00,0.00,4.12,0.00,0.00,0.00,0.00,0.00
89,154710.00,26128.00,0.20,3.67,0.00,0.00,0.00,0.00,0.00
90,154710.00,57893.00,0.40,2.30,0.00,0.00,0.00,0.00,0.00
91,154710.00,28200.00,0.20,4.75,0.00,0.00,0.00,0.00,0.00
92,154710.00,14221.00,0.10,5.04,0.00,0.00,0.00,0.00,0.00
93,154710.00,28125.00,0.20,1.93,0.00,0.00,0.00,0.00,0.00
94,154710.00,14275.00,0.10,2.82,0.00,0.00,0.00,0.00,0.00
95,154710.00,27295.00,0.20,2.03,0.00,0.00,0.00,0.00,0.00
96,154710.00,41613.00,0.30,4.37,0.00,0.00,0.00,0.00,0.00
97,154710.00,28714.00,0.20,1.39,0.00,0.00,0.00,0.00,0.00
98,154710.00,44509.00,0.30,1.06,0.00,0.00,0.00,0.00,0.00
99,154710.00,-315.00,0.00,2.24,0.00,0.00,0.00,0.00,0.00
