GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,0.00,-390.00,0.00,9.28,0.00,0.00,0.00,0.00,0.00
1,0.00,-255.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00
2,0.00,-1505.00,0.00,1.29,0.00,0.00,0.00,0.00,0.00
3,0.00,-295.00,0.00,3.29,0.00,0.00,0.00,0.00,0.00
4,0.00,-865.00,0.00,3.22,0.00,0.00,0.00,0.00,0.00
5,0.00,-295.00,0.00,4.68,0.00,0.00,0.00,0.00,0.00
6,144730.00,13868.00,0.10,2.30,0.00,0.00,0.00,0.00,0.00
7,146170.00,55974.00,0.40,5.04,0.00,0.00,0.00,0.00,0.00
8,146170.00,52989.00,0.40,2.01,0.00,0.00,0.00,0.00,0.00
9,146950.00,42724.00,0.30,5.01,0.00,0.00,0.00,0.00,0.00
10,146950.00,55778.00,0.40,1.69,0.00,0.00,0.00,0.00,0.00
11,146950.00,53441.00,0.40,2.79,0.00,0.00,0.00,0.00,0.00
12,147890.00,69623.00,0.50,1.47,0.00,0.00,0.00,0.00,0.00
13,149690.00,70455.00,0.50,5.01,0.00,0.00,0.00,0.00,0.00
14,149690.00,42151.00,0.30,5.04,0.00,0.00,0.00,0.00,0.00
15,149690.00,65479.00,0.50,4.14,0.00,0.00,0.00,0.00,0.00
16,151950.00,84881.00,0.60,5.01,0.00,0.00,0.00,0.00,0.00
17,151950.00,110930.00,0.80,0.90,0.00,0.00,0.00,0.00,0.00
18,151950.00,113916.00,0.80,5.03,0.00,0.00,0.00,0.00,0.00
19,151950.00,71550.00,0.50,5.08,0.00,0.00,0.00,0.00,0.00
20,153130.00,99670.00,0.70,2.62,0.00,0.00,0.00,0.00,0.00
21,153130.00,112454.00,0.80,2.76,0.00,0.00,0.00,0.00,0.00
22,153130.00,128947.00,0.90,0.59,0.00,0.00,0.00,0.00,0.00
23,153130.00,112107.00,0.80,1.02,0.00,0.00,0.00,0.00,0.00
24,153130.00,99152.00,0.70,4.87,0.00,0.00,0.00,0.00,0.00
25,153130.00,115616.00,0.80,3.41,0.00,0.00,0.00,0.00,0.00
26,153130.00,130397.00,0.90,0.55,0.00,0.00,0.00,0.00,0.00
27,153450.00,142124.00,1.00,0.64,0.00,0.00,0.00,0.00,0.00
28,153450.00,71560.00,0.50,5.01,0.00,0.00,0.00,0.00,0.00
29,153450.00,39882.00,0.30,1.74,0.00,0.00,0.00,0.00,0.00
30,153450.00,71196.00,0.50,4.66,0.00,0.00,0.00,0.00,0.00
31,153450.00,83957.00,0.60,5.08,0.00,0.00,0.00,0.00,0.00
32,153450.00,128951.00,0.90,3.79,0.00,0.00,0.00,0.00,0.00
33,153450.00,84046.00,0.60,2.29,0.00,0.00,0.00,0.00,0.00
34,153450.00,71433.00,0.50,1.98,0.00,0.00,0.00,0.00,0.00
35,153450.00,117914.00,0.80,1.02,0.00,0.00,0.00,0.00,0.00
36,153450.00,141352.00,1.00,0.62,0.00,0.00,0.00,0.00,0.00
37,153450.00,114146.00,0.80,4.08,0.00,0.00,0.00,0.00,0.00
38,153450.00,80812.00,0.60,4.36,0.00,0.00,0.00,0.00,0.00
39,153450.00,116206.00,0.80,2.19,0.00,0.00,0.00,0.00,0.00
40,154030.00,142406.00,1.00,0.56,0.00,0.00,0.00,0.00,0.00
41,154030.00,126671.00,0.90,1.90,0.00,0.00,0.00,0.00,0.00
42,154030.00,113876.00,0.80,1.44,0.00,0.00,0.00,0.00,0.00
43,154030.00,90046.00,0.60,5.04,0.00,0.00,0.00,0.00,0.00
44,154030.00,113134.00,0.80,5.01,0.00,0.00,0.00,0.00,0.00
45,154030.00,145028.00,1.00,0.33,0.00,0.00,0.00,0.00,0.00
46,154030.00,117770.00,0.80,5.01,0.00,0.00,0.00,0.00,0.00
47,154030.00,74143.00,0.50,4.96,0.00,0.00,0.00,0.00,0.00
48,154030.00,112066.00,0.80,4.51,0.00,0.00,0.00,0.00,0.00
49,154030.00,97187.00,0.70,2.52,0.00,0.00,0.00,0.00,0.00
50,154030.00,129609.00,0.90,1.48,0.00,0.00,0.00,0.00,0.00
51,154030.00,129965.00,0.90,5.02,0.00,0.00,0.00,0.00,0.00
52,154030.00,142148.00,1.00,1.05,0.00,0.00,0.00,0.00,0.00
53,154030.00,129501.00,0.90,4.46,0.00,0.00,0.00,0.00,0.00
54,154030.00,114454.00,0.80,1.88,0.00,0.00,0.00,0.00,0.00
55,154290.00,112444.00,0.80,1.12,0.00,0.00,0.00,0.00,0.00
56,154290.00,80670.00,0.60,2.26,0.00,0.00,0.00,0.00,0.00
57,154290.00,144962.00,1.00,0.59,0.00,0.00,0.00,0.00,0.00
58,154290.00,113034.00,0.80,2.13,0.00,0.00,0.00,0.00,0.00
59,154290.00,117642.00,0.80,4.92,0.00,0.00,0.00,0.00,0.00
60,154290.00,101879.00,0.70,4.99,0.00,0.00,0.00,0.00,0.00
61,154290.00,145398.00,1.00,0.82,0.00,0.00,0.00,0.00,0.00
62,154290.00,142706.00,1.00,1.36,0.00,0.00,0.00,0.00,0.00
63,154290.00,113528.00,0.80,2.13,0.00,0.00,0.00,0.00,0.00
64,154290.00,147026.00,1.00,0.87,0.00,0.00,0.00,0.00,0.00
65,154290.00,129553.00,0.90,1.89,0.00,0.00,0.00,0.00,0.00
66,154290.00,128947.00,0.90,3.78,0.00,0.00,0.00,0.00,0.00
67,154290.00,98827.00,0.70,1.32,0.00,0.00,0.00,0.00,0.00
68,154290.00,100434.00,0.70,3.07,0.00,0.00,0.00,0.00,0.00
69,154290.00,126851.00,0.90,1.14,0.00,0.00,0.00,0.00,0.00
70,154290.00,70005.00,0.50,5.01,0.00,0.00,0.00,0.00,0.00
71,154290.00,114866.00,0.80,3.20,0.00,0.00,0.00,0.00,0.00
72,154290.00,131245.00,0.90,3.06,0.00,0.00,0.00,0.00,0.00
73,154290.00,107950.00,0.80,2.50,0.00,0.00,0.00,0.00,0.00
74,154290.00,131323.00,0.90,1.07,0.00,0.00,0.00,0.00,0.00
75,154290.00,123203.00,0.90,1.98,0.00,0.00,0.00,0.00,0.00
76,154290.00,98263.00,0.70,5.00,0.00,0.00,0.00,0.00,0.00
77,154290.00,114806.00,0.80,1.51,0.00,0.00,0.00,0.00,0.00
78,154290.00,125201.00,0.90,1.47,0.00,0.00,0.00,0.00,0.00
79,154290.00,133289.00,0.90,0.61,0.00,0.00,0.00,0.00,0.00
80,154710.00,112262.00,0.80,1.57,0.00,0.00,0.00,0.00,0.00
81,154710.00,100461.00,0.70,4.19,0.00,0.00,0.00,0.00,0.00
82,154710.00,116754.00,0.80,1.30,0.00,0.00,0.00,0.00,0.00
83,154710.00,130137.00,0.90,1.47,0.00,0.00,0.00,0.00,0.00
84,154710.00,101819.00,0.70,2.89,0.00,0.00,0.00,0.00,0.00
85,154710.00,131247.00,0.90,1.98,0.00,0.00,0.00,0.00,0.00
86,154710.00,138216.00,1.00,1.47,0.00,0.00,0.00,0.00,0.00
87,154710.00,132727.00,0.90,0.86,0.00,0.00,0.00,0.00,0.00
88,154710.00,110932.00,0.80,2.66,0.00,0.00,0.00,0.00,0.00
89,154710.00,113644.00,0.80,1.25,0.00,0.00,0.00,0.00,0.00
90,154830.00,134479.00,0.90,2.36,0.00,0.00,0.00,0.00,0.00
91,154830.00,113456.00,0.80,1.16,0.00,0.00,0.00,0.00,0.00
92,154830.00,114104.00,0.80,2.30,0.00,0.00,0.00,0.00,0.00
93,154830.00,142744.00,1.00,1.42,0.00,0.00,0.00,0.00,0.00
94,154830.00,105089.00,0.70,1.16,0.00,0.00,0.00,0.00,0.00
95,154830.00,86276.00,0.60,1.91,0.00,0.00,0.00,0.00,0.00
96,154830.00,115094.00,0.80,2.71,0.00,0.00,0.00,0.00,0.00
97,154830.00,115530.00,0.80,1.44,0.00,0.00,0.00,0.00,0.00
98,154970.00,114618.00,0.80,3.12,0.00,0.00,0.00,0.00,0.00
99,154970.00,145496.00,1.00,1.01,0.00,0.00,0.00,0.00,0.00
