GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,5860.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
1,5860.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
2,5860.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
3,5860.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
4,27820.00,10.26,14.19,33.09,31.72,0.00,40.00,0.00,17.69,30.63,18.36,9.66,19.63,10.56,27.36
5,27820.00,10.26,14.19,33.09,31.72,0.00,40.00,0.00,17.69,30.63,18.36,9.66,19.63,10.56,27.36
6,27820.00,10.26,14.19,33.09,31.72,0.00,40.00,0.00,17.69,30.63,18.36,9.66,19.63,10.56,27.36
7,27820.00,10.26,14.19,33.09,31.72,0.00,40.00,0.00,17.69,30.63,18.36,9.66,19.63,10.56,27.36
8,38800.00,14.13,12.99,29.29,35.65,0.00,40.00,0.00,21.63,40.00,6.55,14.61,14.58,1.63,25.77
9,38800.00,14.13,12.99,29.29,35.65,0.00,40.00,0.00,21.63,40.00,6.55,14.61,14.58,1.63,25.77
10,38800.00,14.13,12.99,29.29,35.65,0.00,40.00,0.00,21.63,40.00,6.55,14.61,14.58,1.63,25.77
11,38800.00,14.13,12.99,29.29,35.65,0.00,40.00,0.00,21.63,40.00,6.55,14.61,14.58,1.63,25.77
12,38800.00,14.13,12.99,29.29,35.65,0.00,40.00,0.00,21.63,40.00,6.55,14.61,14.58,1.63,25.77
13,53040.00,0.67,4.05,0.00,12.82,0.00,40.00,0.00,18.70,21.12,15.51,0.00,40.00,18.52,24.15
14,53040.00,0.67,4.05,0.00,12.82,0.00,40.00,0.00,18.70,21.12,15.51,0.00,40.00,18.52,24.15
15,53040.00,0.67,4.05,0.00,12.82,0.00,40.00,0.00,18.70,21.12,15.51,0.00,40.00,18.52,24.15
16,53040.00,0.67,4.05,0.00,12.82,0.00,40.00,0.00,18.70,21.12,15.51,0.00,40.00,18.52,24.15
17,53040.00,0.67,4.05,0.00,12.82,0.00,40.00,0.00,18.70,21.12,15.51,0.00,40.00,18.52,24.15
18,53040.00,0.67,4.05,0.00,12.82,0.00,40.00,0.00,18.70,21.12,15.51,0.00,40.00,18.52,24.15
19,53040.00,0.67,4.05,0.00,12.82,0.00,40.00,0.00,18.70,21.12,15.51,0.00,40.00,18.52,24.15
20,53040.00,0.67,4.05,0.00,12.82,0.00,40.00,0.00,18.70,21.12,15.51,0.00,40.00,18.52,24.15
21,53040.00,0.67,4.05,0.00,12.82,0.00,40.00,0.00,18.70,21.12,15.51,0.00,40.00,18.52,24.15
22,54740.00,0.00,3.54,0.00,40.00,0.00,35.97,0.00,22.99,0.00,0.00,28.81,21.86,14.04,40.00
23,54740.00,0.00,3.54,0.00,40.00,0.00,35.97,0.00,22.99,0.00,0.00,28.81,21.86,14.04,40.00
24,55360.00,40.00,0.00,0.00,40.00,40.00,34.60,40.00,40.00,14.23,31.66,40.00,38.85,32.04,10.13
25,218440.00,29.30,0.00,30.93,7.88,40.00,32.73,16.60,35.62,32.76,7.59,6.34,40.00,34.40,22.09
26,218440.00,29.30,0.00,30.93,7.88,40.00,32.73,16.60,35.62,32.76,7.59,6.34,40.00,34.40,22.09
27,218440.00,29.30,0.00,30.93,7.88,40.00,32.73,16.60,35.62,32.76,7.59,6.34,40.00,34.40,22.09
28,218440.00,29.30,0.00,30.93,7.88,40.00,32.73,16.60,35.62,32.76,7.59,6.34,40.00,34.40,22.09
29,218440.00,29.30,0.00,30.93,7.88,40.00,32.73,16.60,35.62,32.76,7.59,6.34,40.00,34.40,22.09
