GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,5860.00,3532.00,0.00,0.10,953.00,0.00,0.00,0.00,1.00
1,5860.00,3566.00,0.00,0.04,1433.00,0.00,0.00,0.00,1.00
2,5860.00,3688.00,0.00,0.04,1265.00,0.00,0.00,0.00,1.00
3,5860.00,3328.00,0.00,0.05,1244.00,0.00,0.00,0.00,1.00
4,27820.00,6502.00,0.00,0.05,1862.00,0.00,0.00,0.00,4.00
5,27820.00,3960.00,0.00,0.04,1478.00,0.00,0.00,0.00,1.00
6,27820.00,5020.00,0.00,0.11,1802.00,0.00,0.00,0.00,5.00
7,27820.00,5828.00,0.00,0.06,2213.00,0.00,0.00,0.00,6.00
8,38800.00,11320.00,0.00,0.05,3101.00,0.00,0.00,0.00,6.00
9,38800.00,3680.00,0.00,0.06,987.00,0.00,0.00,0.00,5.00
10,38800.00,7244.00,0.00,0.05,2543.00,0.00,0.00,0.00,7.00
11,38800.00,6250.00,0.00,0.05,1896.00,0.00,0.00,0.00,3.00
12,38800.00,7500.00,0.00,0.10,1882.00,0.00,0.00,0.00,4.00
13,53040.00,11020.00,0.00,0.10,2991.00,0.00,0.00,0.00,2.00
14,53040.00,6746.00,0.00,0.06,2170.00,0.00,0.00,0.00,6.00
15,53040.00,10578.00,0.00,0.06,3168.00,0.00,0.00,0.00,7.00
16,53040.00,12220.00,0.00,0.05,2640.00,0.00,0.00,0.00,7.00
17,53040.00,6984.00,0.00,0.06,2346.00,0.00,0.00,0.00,9.00
18,53040.00,5288.00,0.00,0.06,1537.00,0.00,0.00,0.00,6.00
19,53040.00,8054.00,0.00,0.18,2674.00,0.00,0.00,0.00,6.00
20,53040.00,13142.00,0.00,0.09,3828.00,0.00,0.00,0.00,6.00
21,53040.00,12116.00,0.00,0.07,3950.00,0.00,0.00,0.00,6.00
22,54740.00,13556.00,0.00,0.07,4464.00,0.00,0.00,0.00,7.00
23,54740.00,10518.00,0.00,0.07,3790.00,0.00,0.00,0.00,7.00
24,55360.00,14074.00,0.00,0.17,3473.00,0.00,0.00,0.00,6.00
25,218440.00,24772.00,0.00,0.20,2761.00,0.00,0.00,0.00,7.00
26,218440.00,5456.00,0.00,0.05,1601.00,0.00,0.00,0.00,7.00
27,218440.00,4746.00,0.00,0.05,1179.00,0.00,0.00,0.00,4.00
28,218440.00,7796.00,0.00,0.05,2632.00,0.00,0.00,0.00,3.00
29,218440.00,6764.00,0.00,0.09,2265.00,0.00,0.00,0.00,4.00
30,218440.00,17638.00,0.00,0.14,3131.00,0.00,0.00,0.00,6.00
31,218440.00,8566.00,0.00,0.05,2730.00,0.00,0.00,0.00,5.00
32,218440.00,10180.00,0.00,0.05,2573.00,0.00,0.00,0.00,4.00
33,218440.00,8472.00,0.00,0.05,2426.00,0.00,0.00,0.00,4.00
34,298500.00,34448.00,0.00,0.18,14103.00,0.00,0.00,0.00,5.00
35,298500.00,7450.00,0.00,0.05,2207.00,0.00,0.00,0.00,5.00
36,298500.00,3762.00,0.00,0.06,1229.00,0.00,0.00,0.00,4.00
37,298500.00,10484.00,0.00,0.05,3699.00,0.00,0.00,0.00,4.00
38,298500.00,6686.00,0.00,0.05,1987.00,0.00,0.00,0.00,7.00
39,298500.00,17274.00,0.00,0.37,3314.00,0.00,0.00,0.00,7.00
40,478720.00,51076.00,0.00,0.35,22611.00,0.00,0.00,0.00,7.00
41,478720.00,12796.00,0.00,0.12,3011.00,0.00,0.00,0.00,4.00
42,690080.00,75208.00,0.00,0.42,23116.00,0.00,0.00,0.00,9.00
43,690080.00,30944.00,0.00,0.34,5875.00,0.00,0.00,0.00,7.00
44,690080.00,11870.00,0.00,0.17,2521.00,0.00,0.00,0.00,6.00
45,690080.00,12564.00,0.00,0.06,4814.00,0.00,0.00,0.00,6.00
46,690080.00,14804.00,0.00,0.07,5236.00,0.00,0.00,0.00,3.00
47,690080.00,13864.00,0.00,0.09,5420.00,0.00,0.00,0.00,5.00
48,690080.00,15450.00,0.00,0.07,5912.00,0.00,0.00,0.00,4.00
49,690080.00,5908.00,0.00,0.07,1634.00,0.00,0.00,0.00,3.00
