GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,5197.50,557.17,0.00,1.38,0.00,0.00,0.00,0.00,0.00
1,5411.50,1559.33,0.00,0.07,0.00,0.00,0.00,0.00,0.00
2,15007.50,4633.73,0.00,0.07,0.00,0.00,0.00,0.00,0.00
3,15032.50,5122.50,0.00,0.13,0.00,0.00,0.00,0.00,0.00
4,136468.00,16702.49,0.00,0.14,0.00,0.00,0.00,0.00,0.00
5,136468.00,2580.47,0.00,6.09,0.00,0.00,0.00,0.00,0.00
6,136468.00,2599.21,0.00,0.07,0.00,0.00,0.00,0.00,0.00
7,136468.00,6544.35,0.00,0.12,0.00,0.00,0.00,0.00,0.00
8,136468.00,5549.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00
9,136468.00,7595.72,0.00,0.07,0.00,0.00,0.00,0.00,0.00
10,136468.00,5048.95,0.00,0.06,0.00,0.00,0.00,0.00,0.00
11,136468.00,4053.06,0.00,0.06,0.00,0.00,0.00,0.00,0.00
12,136468.00,5074.37,0.00,0.12,0.00,0.00,0.00,0.00,0.00
13,136468.00,5608.02,0.00,0.07,0.00,0.00,0.00,0.00,0.00
14,136468.00,7741.13,0.00,0.10,0.00,0.00,0.00,0.00,0.00
15,136468.00,7625.92,0.00,0.09,0.00,0.00,0.00,0.00,0.00
16,184537.00,27997.30,0.00,0.49,0.00,0.00,0.00,0.00,0.00
17,184537.00,5053.84,0.00,0.07,0.00,0.00,0.00,0.00,0.00
18,322573.00,37826.77,0.00,0.76,0.00,0.00,0.00,0.00,0.00
19,441397.00,87817.27,0.00,0.47,0.00,0.00,0.00,0.00,0.00
20,441397.00,12107.65,0.00,0.14,0.00,0.00,0.00,0.00,0.00
21,446150.00,57672.87,0.00,0.91,0.00,0.00,0.00,0.00,0.00
22,446150.00,54461.89,0.10,0.41,0.00,0.00,0.00,0.00,0.00
23,446150.00,50748.54,0.00,0.79,0.00,0.00,0.00,0.00,0.00
24,446150.00,29894.31,0.00,0.21,0.00,0.00,0.00,0.00,0.00
25,446150.00,13092.92,0.00,0.07,0.00,0.00,0.00,0.00,0.00
26,446150.00,4111.35,0.00,0.12,0.00,0.00,0.00,0.00,0.00
27,446150.00,20789.30,0.00,0.26,0.00,0.00,0.00,0.00,0.00
28,446150.00,80253.18,0.00,0.74,0.00,0.00,0.00,0.00,0.00
29,446150.00,13935.20,0.00,0.23,0.00,0.00,0.00,0.00,0.00
30,479730.00,79238.40,0.00,0.23,0.00,0.00,0.00,0.00,0.00
31,479730.00,82986.16,0.00,0.31,0.00,0.00,0.00,0.00,0.00
32,479730.00,11578.42,0.00,0.07,0.00,0.00,0.00,0.00,0.00
33,479730.00,53678.55,0.00,0.71,0.00,0.00,0.00,0.00,0.00
34,479730.00,157462.10,0.00,0.81,0.00,0.00,0.00,0.00,0.00
35,480996.00,137791.00,0.10,0.82,0.00,0.00,0.00,0.00,0.00
36,480996.00,63980.95,0.20,0.40,0.00,0.00,0.00,0.00,0.00
37,480996.00,69254.75,0.00,0.54,0.00,0.00,0.00,0.00,0.00
38,480996.00,69842.29,0.00,0.53,0.00,0.00,0.00,0.00,0.00
