GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,5197.50,557.17,0.00,1.24,0.00,0.00,0.00,0.00,0.00
1,5411.50,1559.33,0.00,0.07,0.00,0.00,0.00,0.00,0.00
2,10078.00,5251.88,0.00,0.39,0.00,0.00,0.00,0.00,0.00
3,10078.00,4165.45,0.00,0.14,0.00,0.00,0.00,0.00,0.00
4,111797.00,15306.67,0.00,6.00,0.00,0.00,0.00,0.00,0.00
5,111797.00,25939.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00
6,111797.00,4586.82,0.00,0.07,0.00,0.00,0.00,0.00,0.00
7,111797.00,4562.16,0.00,0.07,0.00,0.00,0.00,0.00,0.00
8,111797.00,14703.15,0.00,0.14,0.00,0.00,0.00,0.00,0.00
9,111797.00,5584.53,0.00,0.12,0.00,0.00,0.00,0.00,0.00
10,111797.00,6576.05,0.00,0.07,0.00,0.00,0.00,0.00,0.00
11,111797.00,14445.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00
12,111797.00,4067.54,0.00,0.06,0.00,0.00,0.00,0.00,0.00
13,121284.00,18209.47,0.00,0.18,0.00,0.00,0.00,0.00,0.00
14,121284.00,6079.56,0.00,0.07,0.00,0.00,0.00,0.00,0.00
15,121284.00,19209.05,0.00,0.13,0.00,0.00,0.00,0.00,0.00
16,121284.00,2550.85,0.00,0.11,0.00,0.00,0.00,0.00,0.00
17,121284.00,7040.47,0.00,0.08,0.00,0.00,0.00,0.00,0.00
18,121284.00,5076.75,0.00,0.07,0.00,0.00,0.00,0.00,0.00
19,121284.00,8038.24,0.00,0.08,0.00,0.00,0.00,0.00,0.00
20,121284.00,8523.05,0.00,0.12,0.00,0.00,0.00,0.00,0.00
21,121284.00,6037.32,0.00,0.07,0.00,0.00,0.00,0.00,0.00
22,121284.00,14062.73,0.00,0.14,0.00,0.00,0.00,0.00,0.00
23,121284.00,5572.85,0.00,0.07,0.00,0.00,0.00,0.00,0.00
24,121284.00,6026.71,0.00,0.10,0.00,0.00,0.00,0.00,0.00
25,121284.00,4051.13,0.00,0.09,0.00,0.00,0.00,0.00,0.00
26,121284.00,3063.75,0.00,0.07,0.00,0.00,0.00,0.00,0.00
27,121284.00,13636.15,0.00,0.14,0.00,0.00,0.00,0.00,0.00
28,121284.00,5533.75,0.00,0.12,0.00,0.00,0.00,0.00,0.00
29,121284.00,13867.75,0.00,0.14,0.00,0.00,0.00,0.00,0.00
30,121284.00,11035.34,0.00,0.13,0.00,0.00,0.00,0.00,0.00
31,121284.00,5070.34,0.00,0.14,0.00,0.00,0.00,0.00,0.00
32,121284.00,7081.50,0.00,0.07,0.00,0.00,0.00,0.00,0.00
33,121284.00,9455.90,0.00,0.19,0.00,0.00,0.00,0.00,0.00
34,121284.00,22741.37,0.00,0.20,0.00,0.00,0.00,0.00,0.00
35,121284.00,5545.36,0.00,0.08,0.00,0.00,0.00,0.00,0.00
