GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
0,5735.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
1,5735.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
2,5735.00,19.70,16.92,33.73,30.48,0.36,19.37,21.71,14.70,13.43,22.78,16.83,17.79,15.42,8.47
3,42375.00,9.18,35.46,27.41,27.72,16.29,5.87,0.00,0.00,14.65,9.38,2.29,30.86,26.53,26.75
4,42375.00,9.18,35.46,27.41,27.72,16.29,5.87,0.00,0.00,14.65,9.38,2.29,30.86,26.53,26.75
5,42375.00,9.18,35.46,27.41,27.72,16.29,5.87,0.00,0.00,14.65,9.38,2.29,30.86,26.53,26.75
6,42375.00,9.18,35.46,27.41,27.72,16.29,5.87,0.00,0.00,14.65,9.38,2.29,30.86,26.53,26.75
7,286885.00,8.87,0.00,10.65,0.00,19.16,0.00,11.48,15.92,40.00,11.97,20.53,40.00,9.69,31.21
8,286885.00,8.87,0.00,10.65,0.00,19.16,0.00,11.48,15.92,40.00,11.97,20.53,40.00,9.69,31.21
9,295230.00,0.00,14.33,0.00,0.00,0.08,0.00,12.92,10.04,40.00,0.00,40.00,26.12,12.35,28.66
10,295230.00,0.00,14.33,0.00,0.00,0.08,0.00,12.92,10.04,40.00,0.00,40.00,26.12,12.35,28.66
11,295230.00,0.00,14.33,0.00,0.00,0.08,0.00,12.92,10.04,40.00,0.00,40.00,26.12,12.35,28.66
12,295230.00,0.00,14.33,0.00,0.00,0.08,0.00,12.92,10.04,40.00,0.00,40.00,26.12,12.35,28.66
13,295230.00,0.00,14.33,0.00,0.00,0.08,0.00,12.92,10.04,40.00,0.00,40.00,26.12,12.35,28.66
14,300760.00,0.00,18.72,0.00,9.19,0.00,0.00,16.63,2.62,40.00,0.00,0.00,20.03,9.78,29.69
15,300760.00,0.00,18.72,0.00,9.19,0.00,0.00,16.63,2.62,40.00,0.00,0.00,20.03,9.78,29.69
16,300760.00,0.00,18.72,0.00,9.19,0.00,0.00,16.63,2.62,40.00,0.00,0.00,20.03,9.78,29.69
17,300760.00,0.00,18.72,0.00,9.19,0.00,0.00,16.63,2.62,40.00,0.00,0.00,20.03,9.78,29.69
18,300760.00,0.00,18.72,0.00,9.19,0.00,0.00,16.63,2.62,40.00,0.00,0.00,20.03,9.78,29.69
19,300760.00,0.00,18.72,0.00,9.19,0.00,0.00,16.63,2.62,40.00,0.00,0.00,20.03,9.78,29.69
20,432785.00,3.33,0.00,0.00,40.00,0.00,3.43,18.41,40.00,34.24,6.69,18.66,12.92,10.69,28.57
21,432785.00,3.33,0.00,0.00,40.00,0.00,3.43,18.41,40.00,34.24,6.69,18.66,12.92,10.69,28.57
22,432785.00,3.33,0.00,0.00,40.00,0.00,3.43,18.41,40.00,34.24,6.69,18.66,12.92,10.69,28.57
23,432785.00,3.33,0.00,0.00,40.00,0.00,3.43,18.41,40.00,34.24,6.69,18.66,12.92,10.69,28.57
24,432785.00,3.33,0.00,0.00,40.00,0.00,3.43,18.41,40.00,34.24,6.69,18.66,12.92,10.69,28.57
25,483665.00,0.00,24.91,8.47,40.00,1.86,2.99,20.43,40.00,37.93,2.01,24.07,12.11,0.00,21.07
26,483665.00,0.00,24.91,8.47,40.00,1.86,2.99,20.43,40.00,37.93,2.01,24.07,12.11,0.00,21.07
27,483665.00,0.00,24.91,8.47,40.00,1.86,2.99,20.43,40.00,37.93,2.01,24.07,12.11,0.00,21.07
28,483665.00,0.00,24.91,8.47,40.00,1.86,2.99,20.43,40.00,37.93,2.01,24.07,12.11,0.00,21.07
29,483665.00,0.00,24.91,8.47,40.00,1.86,2.99,20.43,40.00,37.93,2.01,24.07,12.11,0.00,21.07
30,483665.00,0.00,24.91,8.47,40.00,1.86,2.99,20.43,40.00,37.93,2.01,24.07,12.11,0.00,21.07
31,483665.00,0.00,24.91,8.47,40.00,1.86,2.99,20.43,40.00,37.93,2.01,24.07,12.11,0.00,21.07
32,483665.00,0.00,24.91,8.47,40.00,1.86,2.99,20.43,40.00,37.93,2.01,24.07,12.11,0.00,21.07
33,483665.00,0.00,24.91,8.47,40.00,1.86,2.99,20.43,40.00,37.93,2.01,24.07,12.11,0.00,21.07
34,483665.00,0.00,24.91,8.47,40.00,1.86,2.99,20.43,40.00,37.93,2.01,24.07,12.11,0.00,21.07
