GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,5735.00,2037.50,0.00,2.07,1444.00,0.00,0.00,0.00,1.00
1,5735.00,1993.00,0.00,1.64,1998.00,0.00,0.00,0.00,1.00
2,5735.00,1697.50,0.00,2.25,1733.00,0.00,0.00,0.00,1.00
3,42375.00,5721.00,0.00,1.18,2649.00,0.00,0.00,0.00,2.00
4,42375.00,2952.50,0.00,2.42,3227.00,0.00,0.00,0.00,2.00
5,42375.00,2883.50,0.00,1.34,3204.00,0.00,0.00,0.00,2.00
6,42375.00,5440.00,0.00,1.70,4069.00,0.00,0.00,0.00,6.00
7,286885.00,34295.50,0.00,1.90,16468.00,0.00,0.00,0.00,4.00
8,286885.00,31081.50,0.00,1.82,8730.00,0.00,0.00,0.00,6.00
9,295230.00,51755.50,0.00,1.54,21008.00,0.00,0.00,0.00,4.00
10,295230.00,43109.00,0.00,3.29,20431.00,0.00,0.00,0.00,5.00
11,295230.00,40937.50,0.00,1.77,7486.00,0.00,0.00,0.00,2.00
12,295230.00,26528.50,0.00,1.85,11233.00,0.00,0.00,0.00,4.00
13,295230.00,28633.50,0.00,2.41,17583.00,0.00,0.00,4.00,3.00
14,300760.00,50754.00,0.00,1.66,13371.00,0.00,0.00,0.00,6.00
15,300760.00,21836.50,0.00,5.85,10300.00,0.00,0.00,0.00,2.00
16,300760.00,117553.00,0.00,1.55,20661.00,0.00,0.00,3.00,4.00
17,300760.00,7800.00,0.00,1.98,7488.00,0.00,0.00,0.00,2.00
18,300760.00,38309.50,0.00,2.52,10876.00,0.00,0.00,0.00,3.00
19,300760.00,20358.00,0.00,1.99,8248.00,0.00,0.00,0.00,3.00
20,432785.00,145563.50,0.00,2.37,71985.00,0.00,0.00,0.00,4.00
21,432785.00,78279.00,0.00,1.86,35007.00,0.00,0.00,0.00,3.00
22,432785.00,26977.00,0.00,2.65,9208.00,0.00,0.00,0.00,1.00
23,432785.00,2332.00,0.00,1.11,2777.00,0.00,0.00,0.00,2.00
24,432785.00,33632.50,0.00,1.45,21240.00,0.00,0.00,3.00,3.00
25,483665.00,50991.00,0.00,8.17,34165.00,0.00,0.00,0.00,3.00
26,483665.00,82989.50,0.00,0.69,53394.00,0.00,0.00,0.00,3.00
27,483665.00,42602.50,0.00,1.05,27048.00,0.00,0.00,3.00,4.00
28,483665.00,72213.50,0.00,3.50,30341.00,0.00,0.00,0.00,2.00
29,483665.00,45275.50,0.00,1.10,8620.00,0.00,0.00,1.00,3.00
30,483665.00,65198.00,0.00,10.38,23303.00,0.00,0.00,0.00,4.00
31,483665.00,70044.00,0.00,2.46,27998.00,0.00,0.00,1.00,4.00
32,483665.00,70606.50,0.00,1.03,32924.00,0.00,0.00,0.00,4.00
33,483665.00,29996.50,0.00,2.63,5329.00,0.00,0.00,1.00,2.00
34,483665.00,137546.50,0.00,1.41,73261.00,0.00,0.00,5.00,4.00
35,483665.00,3477.50,0.00,2.61,4427.00,0.00,0.00,0.00,2.00
36,483665.00,38515.50,0.00,1.61,24208.00,0.00,0.00,3.00,4.00
37,483665.00,109509.50,0.00,4.77,36151.00,0.00,0.00,1.00,3.00
38,483665.00,72443.00,0.00,1.29,31451.00,0.00,0.00,0.00,3.00
39,483665.00,47632.00,0.00,0.71,32659.00,0.00,0.00,0.00,5.00
40,483665.00,141659.00,0.00,1.67,48244.00,0.00,0.00,1.00,3.00
41,483665.00,125343.50,0.00,14.06,40407.00,0.00,0.00,1.00,2.00
42,483665.00,31454.00,0.00,3.44,11225.00,0.00,0.00,0.00,3.00
43,483665.00,112606.00,0.00,5.98,39400.00,0.00,0.00,4.00,5.00
44,483665.00,30270.50,0.00,1.51,17838.00,0.00,0.00,4.00,3.00
45,483665.00,49754.00,0.00,2.39,31745.00,0.00,0.00,0.00,3.00
46,483665.00,65139.00,0.00,1.57,29742.00,0.00,0.00,2.00,4.00
47,483665.00,128705.00,0.00,1.87,55811.00,0.00,0.00,4.00,4.00
48,483665.00,136600.50,0.00,2.17,62052.00,0.00,0.00,0.00,2.00
49,483665.00,112822.50,0.00,0.97,51710.00,0.00,0.00,1.00,2.00
