GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,1000.00,14.00,0.00,1.64,0.00,0.00,0.00,0.00,0.00
1,2220.00,126.00,0.00,6.66,0.00,0.00,0.00,0.00,0.00
2,5090.00,785.00,0.00,2.81,0.00,0.00,0.00,0.00,0.00
3,5090.00,-42.00,0.00,2.48,0.00,0.00,0.00,0.00,0.00
4,5090.00,-51.00,0.00,3.15,0.00,0.00,0.00,0.00,0.00
5,5090.00,-174.00,0.00,4.39,0.00,0.00,0.00,0.00,0.00
6,5090.00,179.00,0.00,1.90,0.00,0.00,0.00,0.00,0.00
7,299860.00,30372.00,0.00,2.32,0.00,0.00,0.00,0.00,0.00
8,613620.00,61969.00,0.00,2.25,0.00,0.00,0.00,0.00,0.00
9,815300.00,41994.00,0.00,2.04,0.00,0.00,0.00,0.00,0.00
10,815300.00,-2439.00,0.00,2.52,0.00,0.00,0.00,0.00,0.00
11,815300.00,-49314.00,0.00,2.87,0.00,0.00,0.00,0.00,0.00
12,815300.00,89921.00,0.00,1.97,0.00,0.00,0.00,0.00,0.00
13,1070730.00,28477.00,0.00,1.99,0.00,0.00,0.00,0.00,0.00
14,1070730.00,85875.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00
15,1070730.00,73877.00,0.00,2.09,0.00,0.00,0.00,0.00,0.00
16,1070730.00,-893.00,0.00,1.73,0.00,0.00,0.00,0.00,0.00
17,1597990.00,214419.00,0.00,3.82,0.00,0.00,0.00,0.00,0.00
18,1680280.00,281918.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00
19,1680280.00,88475.00,0.00,2.81,0.00,0.00,0.00,0.00,0.00
20,1719080.00,815615.00,0.00,2.55,0.00,0.00,0.00,0.00,0.00
21,1719080.00,657262.00,0.00,2.52,0.00,0.00,0.00,0.00,0.00
22,1719080.00,86543.00,0.00,2.24,0.00,0.00,0.00,0.00,0.00
23,1719080.00,210032.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00
24,1853490.00,449167.00,0.00,2.97,0.00,0.00,0.00,0.00,0.00
25,1853490.00,428251.00,0.00,3.57,0.00,0.00,0.00,0.00,0.00
26,1853490.00,362555.00,0.00,3.41,0.00,0.00,0.00,0.00,0.00
27,1853490.00,333007.00,0.00,2.18,0.00,0.00,0.00,0.00,0.00
28,1853490.00,172058.00,0.00,1.87,0.00,0.00,0.00,0.00,0.00
29,1853490.00,387433.00,0.00,3.52,0.00,0.00,0.00,0.00,0.00
30,1853490.00,438023.00,0.00,4.27,0.00,0.00,0.00,0.00,0.00
31,1853490.00,708871.00,0.00,4.04,0.00,0.00,0.00,0.00,0.00
32,1853490.00,473587.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00
33,1853490.00,786592.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00
34,1853490.00,777158.00,0.00,2.29,0.00,0.00,0.00,0.00,0.00
35,1853490.00,1080642.00,0.00,2.02,0.00,0.00,0.00,0.00,0.00
36,1853490.00,841594.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00
37,1853490.00,1019194.00,0.00,2.44,0.00,0.00,0.00,0.00,0.00
38,1853490.00,652522.00,0.00,5.35,0.00,0.00,0.00,0.00,0.00
39,1853490.00,1006381.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00
40,1853490.00,1000513.00,0.00,2.04,0.00,0.00,0.00,0.00,0.00
41,1860140.00,1053008.00,0.00,3.51,0.00,0.00,0.00,0.00,0.00
42,1860140.00,857251.00,0.00,3.13,0.00,0.00,0.00,0.00,0.00
43,1860140.00,1566435.00,0.00,2.27,0.00,0.00,0.00,0.00,0.00
44,1860140.00,1013711.00,0.00,1.73,0.00,0.00,0.00,0.00,0.00
45,1860140.00,1026028.00,0.00,5.02,0.00,0.00,0.00,0.00,0.00
46,1860140.00,1216647.00,0.00,2.90,0.00,0.00,0.00,0.00,0.00
47,1863310.00,1384967.00,0.00,2.44,0.00,0.00,0.00,0.00,0.00
48,1863310.00,855562.00,0.00,2.64,0.00,0.00,0.00,0.00,0.00
49,1863310.00,1037257.00,0.00,2.04,0.00,0.00,0.00,0.00,0.00
50,1863310.00,1210227.00,0.00,1.90,0.00,0.00,0.00,0.00,0.00
51,1863310.00,1021455.00,0.00,3.15,0.00,0.00,0.00,0.00,0.00
52,1863310.00,898881.00,0.00,3.31,0.00,0.00,0.00,0.00,0.00
53,1863310.00,1022612.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00
54,1863310.00,1401918.00,0.00,3.58,0.00,0.00,0.00,0.00,0.00
55,1871670.00,1212070.00,0.00,3.01,0.00,0.00,0.00,0.00,0.00
56,1871670.00,1018366.00,0.00,1.94,0.00,0.00,0.00,0.00,0.00
57,1871670.00,544569.00,0.00,5.13,0.00,0.00,0.00,0.00,0.00
58,1871670.00,1024446.00,0.00,1.99,0.00,0.00,0.00,0.00,0.00
59,1872560.00,1196563.00,0.00,3.07,0.00,0.00,0.00,0.00,0.00
60,1874260.00,1241733.00,0.00,2.19,0.00,0.00,0.00,0.00,0.00
61,1874260.00,1207129.00,0.00,3.24,0.00,0.00,0.00,0.00,0.00
62,1874260.00,701389.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00
63,1874260.00,887471.00,0.00,3.10,0.00,0.00,0.00,0.00,0.00
64,1874260.00,855595.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
