GenID,BestFitness,AvgFitness,WinRate,TimeTaken,AvgWood,AvgMeat,AvgStone,AvgSoldiers,AvgWorkers
0,1000.00,14.00,0.00,2.03,0.00,0.00,0.00,0.00,0.00
1,1830.00,582.00,0.00,6.57,0.00,0.00,0.00,0.00,0.00
2,2350.00,481.00,0.00,2.23,0.00,0.00,0.00,0.00,0.00
3,2350.00,-607.00,0.00,4.56,0.00,0.00,0.00,0.00,0.00
4,2350.00,-207.00,0.00,2.93,0.00,0.00,0.00,0.00,0.00
5,2350.00,-206.00,0.00,2.88,0.00,0.00,0.00,0.00,0.00
6,2350.00,34.00,0.00,1.52,0.00,0.00,0.00,0.00,0.00
7,2350.00,-574.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00
8,2350.00,158.00,0.00,1.81,0.00,0.00,0.00,0.00,0.00
9,2350.00,380.00,0.00,2.02,0.00,0.00,0.00,0.00,0.00
10,2430.00,68.00,0.00,1.94,0.00,0.00,0.00,0.00,0.00
11,2430.00,-315.00,0.00,1.69,0.00,0.00,0.00,0.00,0.00
12,2430.00,-179.00,0.00,1.58,0.00,0.00,0.00,0.00,0.00
13,2430.00,-114.00,0.00,2.35,0.00,0.00,0.00,0.00,0.00
14,2430.00,-140.00,0.00,2.19,0.00,0.00,0.00,0.00,0.00
15,2430.00,-530.00,0.00,2.65,0.00,0.00,0.00,0.00,0.00
16,2430.00,-123.00,0.00,1.84,0.00,0.00,0.00,0.00,0.00
17,2430.00,-239.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00
18,2430.00,298.00,0.00,1.74,0.00,0.00,0.00,0.00,0.00
19,2430.00,-215.00,0.00,1.83,0.00,0.00,0.00,0.00,0.00
20,2430.00,446.00,0.00,1.71,0.00,0.00,0.00,0.00,0.00
21,2690.00,742.00,0.00,3.41,0.00,0.00,0.00,0.00,0.00
22,2690.00,-379.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00
23,2690.00,-235.00,0.00,1.44,0.00,0.00,0.00,0.00,0.00
24,2690.00,577.00,0.00,1.82,0.00,0.00,0.00,0.00,0.00
25,2840.00,58.00,0.00,2.57,0.00,0.00,0.00,0.00,0.00
26,2840.00,-60.00,0.00,5.09,0.00,0.00,0.00,0.00,0.00
27,2840.00,112.00,0.00,1.74,0.00,0.00,0.00,0.00,0.00
28,2840.00,-42.00,0.00,4.02,0.00,0.00,0.00,0.00,0.00
29,2840.00,16.00,0.00,2.40,0.00,0.00,0.00,0.00,0.00
30,2840.00,121.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00
31,2840.00,-178.00,0.00,1.94,0.00,0.00,0.00,0.00,0.00
32,2840.00,-42.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00
33,2840.00,-255.00,0.00,1.93,0.00,0.00,0.00,0.00,0.00
34,2840.00,221.00,0.00,3.25,0.00,0.00,0.00,0.00,0.00
35,2840.00,-459.00,0.00,2.64,0.00,0.00,0.00,0.00,0.00
36,2840.00,-328.00,0.00,2.19,0.00,0.00,0.00,0.00,0.00
37,2840.00,292.00,0.00,2.13,0.00,0.00,0.00,0.00,0.00
38,2920.00,-324.00,0.00,2.92,0.00,0.00,0.00,0.00,0.00
39,2920.00,179.00,0.00,2.22,0.00,0.00,0.00,0.00,0.00
40,2920.00,60.00,0.00,2.12,0.00,0.00,0.00,0.00,0.00
41,2920.00,309.00,0.00,1.86,0.00,0.00,0.00,0.00,0.00
42,2920.00,-50.00,0.00,2.03,0.00,0.00,0.00,0.00,0.00
43,2920.00,403.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00
44,2920.00,132.00,0.00,2.03,0.00,0.00,0.00,0.00,0.00
45,2920.00,144.00,0.00,2.66,0.00,0.00,0.00,0.00,0.00
46,2920.00,319.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00
47,2920.00,590.00,0.00,2.80,0.00,0.00,0.00,0.00,0.00
48,2920.00,-281.00,0.00,2.21,0.00,0.00,0.00,0.00,0.00
49,2920.00,-767.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00
50,2920.00,-137.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00
