Time,P1_Pop,P1_Soldiers,P1_Towers,P1_Res,P2_Pop,P2_Soldiers,P2_Towers,P2_Res,ScoreDiff,HybridMode
1.7,3,0,0,900,3,0,0,900,0.0,Economic
2.9,3,0,0,900,3,0,0,900,0.0,Economic
4.0,3,0,1,500,3,0,0,900,0.0,Economic
5.3,3,0,1,510,3,0,0,920,0.0,Economic
6.4,3,0,1,510,3,0,0,930,0.0,Economic
7.4,3,0,1,530,3,0,0,700,0.0,Economic
8.5,3,0,1,530,3,0,0,710,0.0,Economic
16.1,3,0,1,570,4,0,0,760,0.0,Economic
17.2,3,0,1,570,4,0,0,760,0.0,Economic
18.2,3,0,1,590,4,0,0,790,0.0,Economic
19.2,3,0,1,600,4,0,0,800,0.0,Economic
20.3,3,0,1,620,4,0,0,830,0.0,Economic
21.4,3,0,1,630,4,0,0,840,0.0,Economic
22.4,3,0,1,650,4,0,0,870,0.0,Economic
23.5,3,0,1,660,4,0,0,880,0.0,Economic
24.5,3,0,1,680,4,0,0,910,0.0,Economic
25.6,3,0,1,690,4,0,0,920,0.0,Economic
26.6,3,0,1,710,4,0,0,700,0.0,Economic
27.7,3,0,1,720,4,0,0,710,0.0,Economic
28.7,3,0,1,740,4,0,0,740,0.0,Economic
29.8,3,0,1,750,4,0,0,750,0.0,Economic
30.8,3,0,1,770,4,0,0,780,0.0,Economic
31.9,3,0,1,780,4,0,0,790,0.0,Economic
33.0,3,0,1,800,5,0,0,820,0.0,Economic
34.0,3,0,1,810,5,0,0,830,0.0,Economic
35.0,3,0,1,830,5,0,0,860,0.0,Economic
36.1,3,0,1,840,5,0,0,870,0.0,Economic
37.1,3,0,1,860,5,0,0,900,0.0,Economic
38.2,3,0,1,870,5,0,0,900,0.0,Economic
39.3,3,0,1,900,5,0,0,900,0.0,Economic
40.3,3,0,1,900,5,0,0,910,0.0,Economic
41.3,3,0,1,930,5,0,0,930,0.0,Economic
42.3,3,0,1,930,5,0,0,960,0.0,Economic
43.4,3,0,1,960,5,0,0,730,0.0,Economic
44.4,3,0,1,960,5,0,0,760,0.0,Economic
45.5,3,0,1,990,5,0,0,780,0.0,Economic
46.6,3,0,1,990,5,0,0,810,0.0,Economic
47.6,3,0,1,1020,5,0,0,830,0.0,Economic
48.7,3,0,1,1020,6,0,0,860,0.0,Economic
49.7,3,0,1,1050,6,0,0,880,0.0,Economic
50.8,3,0,1,1050,6,0,0,920,0.0,Economic
51.8,3,0,1,1080,6,0,0,940,0.0,Economic
52.8,3,0,1,1080,6,0,0,730,0.0,Economic
53.9,3,0,1,1110,6,0,0,750,0.0,Economic
54.9,3,0,1,1110,6,0,0,790,0.0,Economic
56.0,3,0,1,1140,6,0,0,810,0.0,Economic
